,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.28992212, 0.39099765, 0.4073162)","(0.273789, 0.3979817, 0.4951637)","(0.27718982, 0.3836549, 0.36730498)","(0.27203324, 0.42262682, 0.5225186)","(0.27599752, 0.38067496, 0.3751912)","(0.32084808, 0.46298823, 0.65839815)","(0.3225655, 0.36452588, 0.73386383)","(0.4023388, 0.49979827, 0.4408459)","(0.39083168, 0.32982504, 0.38560867)","(0.44922328, 0.5252501, 0.21787244)","(0.4478104, 0.29248786, 0.29691654)","(0.49136454, 0.46454793, 0.732326)","(0.49169374, 0.3894721, 0.73603034)","(0.6123599, 0.44911203, 0.45817876)","(0.6097269, 0.39782926, 0.60709816)","(0.7451849, 0.47246456, 0.25021172)","(0.7429966, 0.40206343, 0.31538087)","(0.2740153819322586, 0.40165089070796967, 0.44885489344596863)",0.04213875159621239,"(0.3111118972301483, 0.4061705867449443, 0.5998593966166178)",0.05212388315544362
1,"(0.2893689, 0.3924063, 0.32036048)","(0.27888086, 0.40602374, 0.5414045)","(0.27929223, 0.3862382, 0.4267294)","(0.27571452, 0.42737693, 0.62089217)","(0.27855578, 0.3773362, 0.44902775)","(0.32283962, 0.4667619, 0.73437923)","(0.32751465, 0.36102343, 0.78002405)","(0.39019006, 0.50527143, 0.5183598)","(0.3996666, 0.32434285, 0.5179176)","(0.44692993, 0.5330144, 0.34286752)","(0.4435138, 0.2786847, 0.26686615)","(0.49174958, 0.46573564, 0.73551047)","(0.49238762, 0.3909747, 0.74282885)","(0.61044705, 0.45014358, 0.4244333)","(0.61050975, 0.4011701, 0.5539026)","(0.74248475, 0.47244513, 0.23828444)","(0.73889554, 0.40608737, 0.3841476)","(0.2771351486444473, 0.4023565649986267, 0.5349599570035934)",0.05012131854891777,"(0.31324105461438495, 0.4067305425802867, 0.611587921778361)",0.055679920394058606
2,"(0.28580105, 0.40556455, 0.44555977)","(0.27208257, 0.41474015, 0.3656081)","(0.27469665, 0.39479977, 0.33390808)","(0.26858243, 0.43135518, 0.47402778)","(0.27255982, 0.38162172, 0.40663913)","(0.31874946, 0.46589363, 0.7369425)","(0.3218577, 0.35542536, 0.74576056)","(0.39008993, 0.5018046, 0.52903634)","(0.38883048, 0.3146205, 0.50053173)","(0.4473672, 0.5568918, 0.39094192)","(0.4381176, 0.2531925, 0.45035118)","(0.49124107, 0.4647832, 0.76813126)","(0.4937874, 0.38678953, 0.7944057)","(0.60584366, 0.44600278, 0.38841248)","(0.60602516, 0.39002508, 0.61884046)","(0.7331526, 0.45908222, 0.33991683)","(0.7440665, 0.39113247, 0.5142064)","(0.27057112753391266, 0.40648844838142395, 0.44033345580101013)",0.04989225044846535,"(0.30880273381869, 0.4089611768722534, 0.6427542865276337)",0.04650223287637565
3,"(0.2852232, 0.40731737, 0.50004596)","(0.27072388, 0.41614717, 0.39806175)","(0.2695828, 0.39511105, 0.48353684)","(0.26980722, 0.43443716, 0.533808)","(0.27395493, 0.37985945, 0.4516691)","(0.31944704, 0.46419793, 0.7545806)","(0.325549, 0.3479374, 0.66829175)","(0.39119694, 0.50691384, 0.5482223)","(0.3938658, 0.29794472, 0.5049641)","(0.41721487, 0.51116705, 0.32687712)","(0.43724197, 0.23538479, 0.54802096)","(0.4943764, 0.45759106, 0.71560013)","(0.49532413, 0.3827436, 0.6809021)","(0.6120991, 0.44670725, 0.5171624)","(0.6098399, 0.38207874, 0.46005398)","(0.7527775, 0.45469603, 0.46828958)","(0.75421846, 0.38265783, 0.37685433)","(0.2718810737133026, 0.4071483016014099, 0.4927385449409485)",0.05473508685827255,"(0.3100730776786804, 0.4064842363198598, 0.6409727732340494)",0.04972770767552484
4,"(0.28674677, 0.38993844, 0.32584518)","(0.27488804, 0.40030238, 0.3854177)","(0.27606598, 0.3865399, 0.36794868)","(0.27799836, 0.41940022, 0.59324753)","(0.2787629, 0.38156122, 0.45132673)","(0.3278119, 0.4574219, 0.6359659)","(0.3264703, 0.3499022, 0.5907064)","(0.40173483, 0.51146585, 0.42794424)","(0.38302255, 0.28838927, 0.5647769)","(0.41676158, 0.5106853, 0.32194155)","(0.43756804, 0.21989039, 0.46531582)","(0.491917, 0.45206374, 0.67121196)","(0.4935186, 0.3757801, 0.68621635)","(0.614232, 0.43452328, 0.5242592)","(0.6173297, 0.37827766, 0.43139756)","(0.7531917, 0.438323, 0.44537976)","(0.7607617, 0.36229452, 0.515407)","(0.2783806324005127, 0.400480717420578, 0.522287130355835)",0.03784671798348427,"(0.31367631753285724, 0.399087518453598, 0.5175058245658875)",0.05688254874029188
5,"(0.29905427, 0.38368607, 0.37125832)","(0.2887375, 0.38588247, 0.4670788)","(0.2890311, 0.38034314, 0.41705656)","(0.29228365, 0.3946666, 0.47672814)","(0.2904539, 0.38414404, 0.47037068)","(0.3322569, 0.4257697, 0.42150703)","(0.33122623, 0.3745256, 0.28955698)","(0.38846123, 0.4908727, 0.24125314)","(0.38186833, 0.29689425, 0.4857924)","(0.3993253, 0.4855071, 0.2927303)","(0.3727762, 0.3187625, 0.11132333)","(0.5061065, 0.42314553, 0.51673)","(0.50608575, 0.3794714, 0.513985)","(0.6289447, 0.4161693, 0.4121194)","(0.62782276, 0.38610852, 0.46472022)","(0.7529198, 0.42398033, 0.36634064)","(0.72743297, 0.4092278, 0.16165292)","(0.2913687825202942, 0.3894053250551224, 0.47354941070079803)",0.01068047434091568,"(0.3208458026250203, 0.39466045300165814, 0.3607741097609202)",0.04879788062254246
6,"(0.29015008, 0.38327366, 0.37493578)","(0.27984774, 0.39032182, 0.4136492)","(0.28066933, 0.3759446, 0.40247822)","(0.28208265, 0.4057116, 0.62749547)","(0.28359216, 0.3695477, 0.6034111)","(0.33011276, 0.44179785, 0.60577804)","(0.32877338, 0.331303, 0.54898435)","(0.40114006, 0.5028137, 0.43165776)","(0.3792721, 0.26908684, 0.49976838)","(0.41768333, 0.48416516, 0.37438217)","(0.43504843, 0.19837117, 0.5466894)","(0.513679, 0.4304379, 0.709913)","(0.51587325, 0.35955173, 0.6209622)","(0.6406879, 0.4256987, 0.44681263)","(0.6460208, 0.3613853, 0.4484704)","(0.76289654, 0.43993306, 0.4123487)","(0.7654995, 0.35820025, 0.48442757)","(0.2828374058008194, 0.3876296430826187, 0.6154532730579376)",0.036195386201143265,"(0.3163454035917918, 0.38545817136764526, 0.5098993877569834)",0.05257251238756876
7,"(0.3103401, 0.35768852, 0.34861115)","(0.301721, 0.35784793, 0.43441737)","(0.30115634, 0.35731846, 0.37132803)","(0.30494788, 0.36396, 0.52861106)","(0.30283314, 0.3623682, 0.4820821)","(0.3508154, 0.37939417, 0.40709788)","(0.34845346, 0.37543368, 0.4311992)","(0.41531345, 0.3938062, 0.12204251)","(0.42162487, 0.35395378, 0.112874836)","(0.41672277, 0.46368545, 0.24502736)","(0.40830338, 0.35458815, 0.10405892)","(0.5261145, 0.388934, 0.60019827)","(0.5254886, 0.36577392, 0.59192485)","(0.6458719, 0.3864002, 0.5694181)","(0.6472131, 0.35655496, 0.44230747)","(0.75841236, 0.3996827, 0.37407112)","(0.761662, 0.3656276, 0.3532486)","(0.30389051139354706, 0.36316409707069397, 0.5053465813398361)",0.00264687929302454,"(0.33653631806373596, 0.37083879113197327, 0.39563607176144916)",0.05862324545956649
8,"(0.34300083, 0.3585063, 0.35233945)","(0.33418483, 0.35483178, 0.37188345)","(0.33468288, 0.35504872, 0.39029166)","(0.33206913, 0.35645413, 0.47424066)","(0.33195144, 0.3565491, 0.4530409)","(0.36421758, 0.37590286, 0.36478084)","(0.36387703, 0.34650326, 0.47927195)","(0.41314894, 0.39736864, 0.14260459)","(0.40469894, 0.2684354, 0.40814143)","(0.4082595, 0.43660593, 0.22310689)","(0.4076628, 0.31369898, 0.11713353)","(0.5333288, 0.3814478, 0.5806979)","(0.5340289, 0.35159767, 0.53785634)","(0.6509071, 0.37487325, 0.4275602)","(0.6503519, 0.33300674, 0.41296726)","(0.76293623, 0.3787483, 0.41205242)","(0.7685975, 0.32858145, 0.39547467)","(0.33201028406620026, 0.35650162398815155, 0.4636407792568207)",0.0001512348826508969,"(0.35703181227048236, 0.3603041370709737, 0.3987974127133687)",0.028291393171118832
9,"(0.33686835, 0.35955235, 0.43773144)","(0.32868737, 0.3663329, 0.41455975)","(0.3265627, 0.35024342, 0.38622612)","(0.3313669, 0.37437055, 0.53637916)","(0.32893822, 0.33290824, 0.45699635)","(0.37459368, 0.41763675, 0.63597554)","(0.37133202, 0.30248764, 0.5538147)","(0.4445994, 0.45969674, 0.28261006)","(0.42121798, 0.2501522, 0.4794271)","(0.4761791, 0.5008182, 0.48068014)","(0.47410524, 0.18442902, 0.42528003)","(0.5321318, 0.39256307, 0.63873243)","(0.53499955, 0.32621753, 0.7428918)","(0.6477752, 0.38836318, 0.57519585)","(0.65129215, 0.32668367, 0.6566886)","(0.76121116, 0.39092526, 0.33810285)","(0.769791, 0.32164258, 0.5233004)","(0.33015255630016327, 0.3536393940448761, 0.49668775498867035)",0.041533373296260834,"(0.3609313468138377, 0.35989224910736084, 0.5425072312355042)",0.04813080301610827
10,"(0.34844542, 0.3480762, 0.42158136)","(0.34065768, 0.35213208, 0.3279733)","(0.33799073, 0.33948964, 0.31609568)","(0.3460754, 0.36859566, 0.35102308)","(0.34080958, 0.33034894, 0.46126887)","(0.3850022, 0.41184247, 0.73001873)","(0.3886771, 0.2893809, 0.6250993)","(0.44730315, 0.4503215, 0.3045603)","(0.44352803, 0.24116848, 0.49655348)","(0.4714042, 0.45819137, 0.3660311)","(0.48909387, 0.20183568, 0.26468515)","(0.5326612, 0.40280288, 0.6571415)","(0.54381484, 0.3273014, 0.6517911)","(0.60756636, 0.5191951, 0.24996153)","(0.6477052, 0.3239873, 0.36500573)","(0.6543211, 0.5343704, 0.17538571)","(0.74575603, 0.32879257, 0.23270151)","(0.34344248473644257, 0.3494722992181778, 0.40614597499370575)",0.03860751539468765,"(0.3740415672461192, 0.3497665226459503, 0.5922331313292185)",0.05130380857324752
