,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.22938886, 0.53121805, 0.49957424)","(0.21836697, 0.54419184, 0.5488389)","(0.2123074, 0.5180648, 0.5264597)","(0.23024857, 0.5523915, 0.5517894)","(0.21966527, 0.49411488, 0.6200636)","(0.31647503, 0.57052815, 0.76088333)","(0.2967628, 0.45665202, 0.7272015)","(0.41681513, 0.5856913, 0.3741877)","(0.4111452, 0.4561559, 0.52102447)","(0.50152683, 0.5926515, 0.4046194)","(0.4977108, 0.4753111, 0.4448759)","(0.50059927, 0.5635148, 0.82839763)","(0.49810642, 0.4968068, 0.74703944)","(0.6839072, 0.52649367, 0.8237456)","(0.6974888, 0.49016583, 0.88557637)","(0.83618975, 0.51636195, 0.5190094)","(0.8934525, 0.46939278, 0.6698372)","(0.2249569222331047, 0.5232532024383545, 0.5859265029430389)",0.05922984331846237,"(0.280875563621521, 0.5194660723209381, 0.6625530322392782)",0.10562176633221396
1,"(0.2278776, 0.52917904, 0.48317236)","(0.21696445, 0.5429122, 0.53045535)","(0.21187884, 0.5165256, 0.49005347)","(0.22792599, 0.5515832, 0.50717694)","(0.21963798, 0.49294347, 0.6320642)","(0.3182773, 0.5677331, 0.6756253)","(0.29607558, 0.45671266, 0.73098063)","(0.41557953, 0.585391, 0.39515913)","(0.40765184, 0.45302805, 0.51912004)","(0.5026739, 0.5936209, 0.41620043)","(0.50179434, 0.47175094, 0.44639945)","(0.50142604, 0.56230605, 0.8209842)","(0.4990177, 0.49547774, 0.73769057)","(0.68368554, 0.5262366, 0.8280395)","(0.69722235, 0.49141237, 0.88858783)","(0.8364731, 0.51601803, 0.5298669)","(0.89341164, 0.469689, 0.6719162)","(0.223781980574131, 0.5222633183002472, 0.5696205794811249)",0.059222511947155,"(0.2807434946298599, 0.5178749362627665, 0.6299261053403219)",0.10812188104853589
2,"(0.22791904, 0.5288882, 0.47676846)","(0.21583377, 0.5431468, 0.6396733)","(0.21136406, 0.5156834, 0.5991577)","(0.22820269, 0.54848087, 0.5890457)","(0.21726719, 0.49167162, 0.5908053)","(0.31734455, 0.5646159, 0.67405087)","(0.29778203, 0.455572, 0.7197319)","(0.41633338, 0.5800836, 0.4332418)","(0.41050753, 0.45345813, 0.5698324)","(0.50445056, 0.5938469, 0.42885667)","(0.5006814, 0.4720406, 0.5216968)","(0.50294137, 0.566025, 0.7565278)","(0.49852657, 0.49649212, 0.78840226)","(0.68395734, 0.52389705, 0.8058428)","(0.6969532, 0.49296016, 0.8792869)","(0.83499265, 0.5134862, 0.6418188)","(0.894195, 0.47008502, 0.672779)","(0.2227349355816841, 0.5200762450695038, 0.5899254977703094)",0.057852186262607574,"(0.28101520737012226, 0.5163587133089701, 0.6235170861085256)",0.10910896282922121
3,"(0.22665128, 0.5283487, 0.4581458)","(0.21587375, 0.54212904, 0.45619634)","(0.20989761, 0.5157765, 0.45691502)","(0.22780192, 0.5481838, 0.5835506)","(0.21606015, 0.49069184, 0.59150386)","(0.31782943, 0.5656987, 0.68184614)","(0.2980268, 0.454691, 0.68608147)","(0.41723424, 0.58424073, 0.43602157)","(0.40950733, 0.45465344, 0.5711075)","(0.50566757, 0.59385395, 0.3939755)","(0.50278497, 0.4734819, 0.55128235)","(0.5015801, 0.5612915, 0.80553705)","(0.50007594, 0.49462986, 0.7273444)","(0.68536496, 0.52258956, 0.78491414)","(0.697634, 0.49231362, 0.86986864)","(0.83581305, 0.51523906, 0.5412632)","(0.8939394, 0.47090492, 0.651794)","(0.22193103283643723, 0.5194378197193146, 0.5875272154808044)",0.05867873877286911,"(0.2808358371257782, 0.5162461201349894, 0.608691136042277)",0.1110394194752444
4,"(0.22576928, 0.5279676, 0.4855285)","(0.21503687, 0.5416354, 0.44452095)","(0.20872395, 0.5148441, 0.42559195)","(0.22766903, 0.54858243, 0.6007859)","(0.2157053, 0.49045998, 0.6039284)","(0.3176527, 0.56537235, 0.6951164)","(0.29688826, 0.45471185, 0.671904)","(0.4171083, 0.58413386, 0.45066363)","(0.40852594, 0.45653376, 0.5703349)","(0.5076594, 0.59160405, 0.33550006)","(0.5062439, 0.4773116, 0.54605955)","(0.50126815, 0.56060636, 0.8031683)","(0.49987596, 0.49416125, 0.7219273)","(0.68545336, 0.5218106, 0.77090466)","(0.6971899, 0.49163097, 0.8646035)","(0.83620757, 0.5145094, 0.5349163)","(0.8941823, 0.47135282, 0.6458343)","(0.2216871678829193, 0.5195212066173553, 0.6023571491241455)",0.05934096872806549,"(0.2801034152507782, 0.5160172581672668, 0.6175163090229034)",0.11126559411541723
5,"(0.22479534, 0.52718735, 0.52234167)","(0.21298146, 0.54153395, 0.65495837)","(0.20789993, 0.51351434, 0.5990243)","(0.2273094, 0.5479069, 0.6137948)","(0.21513504, 0.48982555, 0.6217606)","(0.3173189, 0.56527007, 0.6962007)","(0.2961627, 0.45413908, 0.64295065)","(0.4169588, 0.5820147, 0.4485811)","(0.4105382, 0.4573058, 0.59545344)","(0.50620824, 0.59112823, 0.34983873)","(0.5064297, 0.47795016, 0.5479466)","(0.50083554, 0.56815135, 0.7299403)","(0.49637684, 0.49655873, 0.76555955)","(0.685109, 0.5202704, 0.7660638)","(0.6957821, 0.49208447, 0.8475967)","(0.8351135, 0.5128746, 0.6426398)","(0.89396954, 0.472455, 0.649029)","(0.22122222185134888, 0.5188662111759186, 0.6177777051925659)",0.05934354290366173,"(0.27942564090092975, 0.5155321657657623, 0.6204976836840311)",0.11171952153050994
6,"(0.22437017, 0.52676606, 0.54549897)","(0.21244112, 0.5409702, 0.6637689)","(0.20785376, 0.5128865, 0.58111334)","(0.22677843, 0.5478415, 0.6254781)","(0.2154846, 0.48955995, 0.6379015)","(0.3177299, 0.5641646, 0.6766592)","(0.29517913, 0.45534557, 0.6740937)","(0.4174167, 0.576814, 0.43119597)","(0.4106184, 0.45719218, 0.5940876)","(0.50424725, 0.5905776, 0.38615295)","(0.5065918, 0.48237348, 0.48441172)","(0.5001346, 0.56748676, 0.73495775)","(0.4960158, 0.49642727, 0.7600817)","(0.68595165, 0.5201287, 0.75906825)","(0.6959452, 0.49202967, 0.8519448)","(0.8349587, 0.51255685, 0.64293975)","(0.89469075, 0.4723184, 0.6641533)","(0.22113151848316193, 0.5187007188796997, 0.6316897869110107)",0.05936571955680847,"(0.27909306188424426, 0.5154254039128622, 0.6320839722951254)",0.11177129833222858
7,"(0.22391427, 0.5268645, 0.5571966)","(0.21184777, 0.5410805, 0.6490376)","(0.20747522, 0.5127678, 0.5718382)","(0.22625177, 0.54815495, 0.62965095)","(0.21534264, 0.48923093, 0.6401442)","(0.31680363, 0.5640157, 0.6805239)","(0.29544514, 0.45484746, 0.66838545)","(0.41703555, 0.5742016, 0.44123855)","(0.41163144, 0.45769808, 0.6270571)","(0.504894, 0.5913746, 0.3888371)","(0.5077386, 0.48371977, 0.48506203)","(0.50051355, 0.5670537, 0.74413276)","(0.49654564, 0.4960787, 0.7675148)","(0.6864399, 0.51983166, 0.7549435)","(0.69659394, 0.49130243, 0.85754263)","(0.83580035, 0.51186955, 0.6500276)","(0.8948316, 0.47126395, 0.6554547)","(0.22079720348119736, 0.5186929404735565, 0.6348975896835327)",0.05992536246776581,"(0.27872101465861004, 0.5152425567309061, 0.6353686451911926)",0.11205088076806245
8,"(0.22354838, 0.5269214, 0.55919653)","(0.21158001, 0.5409775, 0.65307754)","(0.20704083, 0.5129607, 0.56000453)","(0.22574666, 0.5472555, 0.61235654)","(0.21467623, 0.48883772, 0.6211648)","(0.31610608, 0.5620433, 0.68470067)","(0.29615116, 0.45350677, 0.64872825)","(0.41701669, 0.5723152, 0.43272305)","(0.41399455, 0.45698017, 0.6657618)","(0.5044972, 0.59094715, 0.40193918)","(0.50837284, 0.47728702, 0.57863265)","(0.49979848, 0.5666044, 0.74222535)","(0.49599904, 0.49583375, 0.76103216)","(0.6856756, 0.5204184, 0.7688514)","(0.6961303, 0.49144596, 0.8616042)","(0.8358387, 0.51221, 0.65915376)","(0.89483964, 0.47084495, 0.64983904)","(0.2202114462852478, 0.5180466175079346, 0.6167606711387634)",0.05945749208331108,"(0.27860187490781146, 0.5141571561495463, 0.6308751503626505)",0.11302765551445233
9,"(0.22293237, 0.52671903, 0.58853567)","(0.21066079, 0.54051197, 0.63484806)","(0.20686647, 0.5115305, 0.6229559)","(0.22457224, 0.5467727, 0.62871885)","(0.21429142, 0.48830175, 0.60765207)","(0.3160387, 0.5612281, 0.65793514)","(0.2960946, 0.45302328, 0.6411382)","(0.4161623, 0.5721464, 0.4309994)","(0.41548848, 0.45712566, 0.66853726)","(0.50447685, 0.5906309, 0.39658558)","(0.505875, 0.47664058, 0.56712276)","(0.5004811, 0.565747, 0.75121903)","(0.49667343, 0.49533793, 0.7678135)","(0.6863953, 0.52096134, 0.77018666)","(0.69707435, 0.49145567, 0.8691603)","(0.8356415, 0.51274884, 0.6766461)","(0.8947878, 0.47019267, 0.6611024)","(0.2194318324327469, 0.5175372362136841, 0.6181854605674744)",0.05936791002750397,"(0.2783552209536235, 0.5136568049589793, 0.6292030016581217)",0.11388264823714324
