,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.26883858, 0.63347054, 0.5003473)","(0.25786293, 0.6463574, 0.47478017)","(0.25243515, 0.6220036, 0.42666256)","(0.26769185, 0.6526227, 0.6221686)","(0.25362468, 0.59681046, 0.6829201)","(0.34594533, 0.66220695, 0.7025727)","(0.3102722, 0.5456596, 0.7134447)","(0.4425802, 0.6472595, 0.48507443)","(0.39672706, 0.5040529, 0.6179636)","(0.50538635, 0.63309693, 0.40540192)","(0.44994435, 0.54691684, 0.44405437)","(0.5169807, 0.6030772, 0.74805653)","(0.507091, 0.5244, 0.7282373)","(0.6420224, 0.608564, 0.5314605)","(0.6424424, 0.53791773, 0.56800205)","(0.7620089, 0.58351636, 0.55034083)","(0.7567929, 0.5378729, 0.5150739)","(0.26065826416015625, 0.624716579914093, 0.6525443494319916)",0.05755772069096565,"(0.3083520332972209, 0.6137790282567342, 0.6387882431348165)",0.08829650255161163
1,"(0.2713077, 0.6432012, 0.41154173)","(0.26125658, 0.652459, 0.6351342)","(0.25572607, 0.62864447, 0.4976013)","(0.2705468, 0.65843534, 0.5945602)","(0.25672168, 0.6018971, 0.58579177)","(0.35083568, 0.6553937, 0.57914907)","(0.31342095, 0.54717153, 0.7471247)","(0.44454312, 0.6491481, 0.5350266)","(0.39948496, 0.517523, 0.4770714)","(0.5268419, 0.63456756, 0.504337)","(0.48589772, 0.54437315, 0.48517144)","(0.5158838, 0.602933, 0.7077695)","(0.5074801, 0.52573717, 0.75680596)","(0.64283323, 0.6117409, 0.56915516)","(0.64719665, 0.5356545, 0.6798394)","(0.76432574, 0.5769348, 0.48777267)","(0.76091903, 0.5352318, 0.63606036)","(0.26363423466682434, 0.630166232585907, 0.590175986289978)",0.05820399150252342,"(0.3118547797203064, 0.6152554750442505, 0.5792718231678009)",0.09848912869439064
2,"(0.28607607, 0.6546691, 0.5575542)","(0.27468547, 0.66763496, 0.61642224)","(0.26690406, 0.6432551, 0.4649067)","(0.28164756, 0.66351134, 0.48396167)","(0.26240438, 0.612725, 0.673072)","(0.35523742, 0.66172516, 0.7181945)","(0.31974715, 0.5591152, 0.6627984)","(0.4522154, 0.6402793, 0.36518088)","(0.40985748, 0.53430134, 0.4992484)","(0.53588414, 0.6388082, 0.54542994)","(0.49489665, 0.54174227, 0.4270655)","(0.51910967, 0.60547984, 0.7187084)","(0.5122641, 0.5370258, 0.6344302)","(0.6425208, 0.62214583, 0.76215243)","(0.64107573, 0.5471253, 0.5575726)","(0.7675187, 0.5744448, 0.71307856)","(0.7583358, 0.5256817, 0.3698426)","(0.2720259726047516, 0.638118177652359, 0.5785168260335922)",0.05430975928902626,"(0.32035354773203534, 0.6251698136329651, 0.6461823582649231)",0.0904467535541975
3,"(0.2852255, 0.66000324, 0.5107719)","(0.277271, 0.67118835, 0.5888521)","(0.2658701, 0.6495457, 0.6075564)","(0.2833002, 0.66743433, 0.53429455)","(0.26059255, 0.61774164, 0.73728937)","(0.35887858, 0.65902376, 0.6291256)","(0.3128578, 0.5595645, 0.66943514)","(0.44839916, 0.64482474, 0.4124151)","(0.40869543, 0.53078336, 0.46683142)","(0.536605, 0.6431769, 0.5044447)","(0.4990258, 0.5405624, 0.4423706)","(0.5174267, 0.60124326, 0.64117706)","(0.51340944, 0.53450096, 0.6022149)","(0.6506656, 0.6233597, 0.6319208)","(0.6520715, 0.55096114, 0.63608915)","(0.7706728, 0.5674945, 0.79216444)","(0.7271978, 0.5027075, 0.35244536)","(0.27194637060165405, 0.6425879895687103, 0.6357919573783875)",0.05463515594601631,"(0.31898729999860126, 0.6261971592903137, 0.6031108697255453)",0.09555542572282562
4,"(0.3046105, 0.6606087, 0.45586455)","(0.29515514, 0.6707281, 0.5620817)","(0.281761, 0.65580153, 0.53509253)","(0.30013794, 0.66723144, 0.51730055)","(0.2733398, 0.6253828, 0.4372823)","(0.36562848, 0.6508818, 0.6576132)","(0.3146996, 0.5743429, 0.7240308)","(0.47028837, 0.62972677, 0.38667604)","(0.39476392, 0.5267956, 0.30364987)","(0.5416725, 0.650279, 0.5246147)","(0.41693687, 0.5249798, 0.10120958)","(0.52699316, 0.5974459, 0.7214701)","(0.5156288, 0.53912836, 0.6018304)","(0.63736016, 0.6272757, 0.45210174)","(0.6293736, 0.59825337, 0.56001484)","(0.76758456, 0.5617112, 0.5626139)","(0.7660083, 0.55321276, 0.30958533)","(0.28673887252807617, 0.646307110786438, 0.47729142010211945)",0.04969356209039688,"(0.3283128539721171, 0.628611147403717, 0.6125028530756632)",0.07964034050767667
5,"(0.3123448, 0.6716508, 0.528193)","(0.30522197, 0.6768746, 0.5952633)","(0.29987666, 0.6656286, 0.45349595)","(0.30014873, 0.6627312, 0.38253987)","(0.28201777, 0.6407162, 0.5712747)","(0.3454362, 0.61482877, 0.6023142)","(0.33660686, 0.61573726, 0.4123743)","(0.4501754, 0.61721057, 0.34166315)","(0.45129305, 0.62485003, 0.3380319)","(0.5162226, 0.641072, 0.26922685)","(0.5202155, 0.64444304, 0.2577023)","(0.5093398, 0.5270011, 0.605148)","(0.51122725, 0.54414165, 0.64153194)","(0.6281805, 0.60681885, 0.48220682)","(0.63340217, 0.62929916, 0.685205)","(0.75639975, 0.55251276, 0.42867312)","(0.77854174, 0.56389993, 0.5772008)","(0.2910832464694977, 0.6517236828804016, 0.47690728306770325)",0.02852000668644905,"(0.3314626117547353, 0.6340722839037577, 0.5142938196659088)",0.08432408964519143
6,"(0.31588772, 0.6788999, 0.5638707)","(0.30873224, 0.6806831, 0.5960403)","(0.30396476, 0.6718709, 0.56848335)","(0.29634917, 0.6607631, 0.37453958)","(0.2876204, 0.63941574, 0.41959983)","(0.33694994, 0.60678387, 0.5398829)","(0.32111302, 0.6104547, 0.56883764)","(0.44576538, 0.60746837, 0.28901422)","(0.43683928, 0.617528, 0.17833817)","(0.499544, 0.6790229, 0.49981928)","(0.4983046, 0.6758267, 0.23237127)","(0.50337255, 0.53056526, 0.6496021)","(0.50599384, 0.5435467, 0.66493136)","(0.60972583, 0.5956888, 0.48410523)","(0.6163274, 0.6340529, 0.692197)","(0.6590378, 0.496642, 0.70327485)","(0.7795117, 0.5631627, 0.62803924)","(0.29198478162288666, 0.6500894129276276, 0.39706970751285553)",0.023062968626618385,"(0.32465022802352905, 0.6320461432139078, 0.557530423005422)",0.09533214786500918
7,"(0.3284375, 0.67914283, 0.51084924)","(0.31530952, 0.6782145, 0.47261578)","(0.313187, 0.67647636, 0.53817934)","(0.2967664, 0.65592253, 0.4574913)","(0.292592, 0.6501467, 0.53926855)","(0.33084998, 0.6058663, 0.47759974)","(0.31519735, 0.6204613, 0.4408131)","(0.4417827, 0.5711247, 0.31176162)","(0.42563003, 0.58731407, 0.093239814)","(0.4817768, 0.5726852, 0.15383977)","(0.4652028, 0.6741783, 0.15141493)","(0.5067508, 0.53937954, 0.6295227)","(0.50752205, 0.5417543, 0.6934229)","(0.6031208, 0.6112943, 0.49096417)","(0.5964792, 0.65595734, 0.7013943)","(0.6530794, 0.5066561, 0.6383169)","(0.7823938, 0.555189, 0.77525944)","(0.294679194688797, 0.6530346274375916, 0.4983799308538437)",0.007126407232135534,"(0.3248282770315806, 0.6351568102836609, 0.47642069061597186)",0.08826769998152267
8,"(0.31521636, 0.6815882, 0.52454126)","(0.30431965, 0.6797801, 0.4048686)","(0.3044749, 0.6800419, 0.54302526)","(0.29088953, 0.66049004, 0.42226562)","(0.2882923, 0.65265447, 0.56064117)","(0.33330148, 0.6041151, 0.4257819)","(0.33239952, 0.6235594, 0.40562958)","(0.4373243, 0.60077167, 0.20030916)","(0.44116646, 0.66321677, 0.3805762)","(0.42826766, 0.69467235, 0.29346597)","(0.4267237, 0.6963584, 0.35893577)","(0.5168592, 0.54522693, 0.5187004)","(0.5166616, 0.5600871, 0.48584628)","(0.61536765, 0.6013548, 0.5250132)","(0.5798097, 0.66690207, 0.5811889)","(0.7774166, 0.55522645, 0.35622266)","(0.78329724, 0.5593959, 0.5685327)","(0.28959091007709503, 0.6565722525119781, 0.4914533942937851)",0.008254803717136383,"(0.32697245478630066, 0.6364209055900574, 0.4519842465718587)",0.09334426053670195
9,"(0.3145926, 0.6760622, 0.31489176)","(0.29832616, 0.6768949, 0.5192683)","(0.29961374, 0.6819364, 0.5002426)","(0.2820381, 0.6565641, 0.57910234)","(0.2891188, 0.66554374, 0.40765563)","(0.3169121, 0.5769889, 0.48680902)","(0.3144396, 0.6464281, 0.50633544)","(0.3903328, 0.502017, 0.5116052)","(0.43594402, 0.6757774, 0.17029461)","(0.45409808, 0.52847755, 0.2269505)","(0.41201037, 0.70003724, 0.15788898)","(0.5164641, 0.5323949, 0.5192507)","(0.51477206, 0.5837986, 0.6345081)","(0.6326612, 0.59541357, 0.5019908)","(0.6287854, 0.6268983, 0.30799764)","(0.7749289, 0.5444248, 0.5520261)","(0.7766837, 0.54617804, 0.4613533)","(0.2855784446001053, 0.6610539257526398, 0.49337898194789886)",0.01143546774983406,"(0.31531476974487305, 0.6331597367922465, 0.436012069384257)",0.08581713430089011
