,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.07210728, 0.5099731, 0.7699332)","(0.053446285, 0.5537071, 0.58516866)","(0.04174134, 0.47934493, 0.5266725)","(0.11384096, 0.5819202, 0.5695742)","(0.085911386, 0.41906986, 0.6993396)","(0.34201655, 0.63409257, 0.8041793)","(0.30270183, 0.33603236, 0.85277575)","(0.6467222, 0.683638, 0.7490065)","(0.34938404, 0.21156308, 0.0744265)","(0.93661416, 0.74472594, 0.6954277)","(0.1573425, 0.3212493, 0.4046047)","(0.82350445, 0.60605675, 0.8670728)","(0.8214023, 0.40908372, 0.84584093)","(0.967611, 0.65969, 0.123013675)","(0.98455703, 0.39433056, 0.087622195)","(0.9588598, 0.5652665, 0.0854767)","(0.96728367, 0.46659622, 0.11922258)","(0.09987617284059525, 0.5004950314760208, 0.6344569027423859)",0.16522802412509918,"(0.23894188553094864, 0.4933660129706065, 0.8089627623558044)",0.3353182486179398
1,"(0.087891504, 0.51693606, 0.59879357)","(0.07197717, 0.5584683, 0.6586582)","(0.05034896, 0.48577106, 0.78394973)","(0.12715167, 0.584053, 0.6062397)","(0.0989873, 0.42002663, 0.628124)","(0.3432034, 0.63512975, 0.6134596)","(0.3092194, 0.33576226, 0.8548916)","(0.6550652, 0.6764595, 0.69570047)","(0.34050226, 0.20669314, 0.08639148)","(0.9340915, 0.7408747, 0.69347024)","(0.16527332, 0.33603925, 0.46002707)","(0.8213663, 0.6046445, 0.86719584)","(0.8213222, 0.41073406, 0.8434663)","(0.9685527, 0.65742016, 0.123366445)","(0.9830341, 0.41005644, 0.086060256)","(0.9550649, 0.58747816, 0.08398983)","(0.96820015, 0.48617065, 0.09373379)","(0.11306948587298393, 0.5020398050546646, 0.6171818375587463)",0.16642677783966064,"(0.24677142997582754, 0.49594269196192425, 0.6890482505162557)",0.32052177763305184
2,"(0.10411587, 0.5126742, 0.60810715)","(0.087356076, 0.5561165, 0.6656104)","(0.06296521, 0.48427457, 0.6504426)","(0.14058065, 0.58226126, 0.52854055)","(0.099564046, 0.42708218, 0.69263905)","(0.348844, 0.632938, 0.8979789)","(0.32017615, 0.34077796, 0.87891173)","(0.65583146, 0.6762268, 0.6788151)","(0.32457083, 0.21304451, 0.10367939)","(0.93206525, 0.73713744, 0.65809375)","(0.1669594, 0.3548264, 0.42938757)","(0.8245516, 0.6079928, 0.8617158)","(0.8230495, 0.41325426, 0.83588696)","(0.9521379, 0.66029906, 0.10532248)","(0.98173684, 0.4115638, 0.09089345)","(0.95403594, 0.61831874, 0.08894947)","(0.9841735, 0.46249914, 0.12282598)","(0.12007234990596771, 0.504671722650528, 0.6105898022651672)",0.16050828993320465,"(0.2577120065689087, 0.49546340107917786, 0.7949992616971334)",0.3091147624999992
3,"(0.114408486, 0.51792866, 0.7493464)","(0.09865838, 0.56056494, 0.55170405)","(0.07362916, 0.49259806, 0.83352184)","(0.15310071, 0.58170974, 0.6939935)","(0.102251425, 0.43887565, 0.6779672)","(0.36158264, 0.6286453, 0.9291588)","(0.32715058, 0.34946424, 0.8325922)","(0.66105306, 0.675434, 0.57705045)","(0.31039125, 0.2145028, 0.22722304)","(0.93281007, 0.73928016, 0.69346243)","(0.18052034, 0.34686595, 0.58255744)","(0.82753533, 0.6083159, 0.84975475)","(0.82565725, 0.41731262, 0.8348547)","(0.96663237, 0.65833384, 0.120660365)","(0.9817455, 0.41395542, 0.08618379)","(0.95527047, 0.6167296, 0.087114364)","(0.9648974, 0.46949863, 0.11355609)","(0.1276760697364807, 0.5102926939725876, 0.685980349779129)",0.15161539614200592,"(0.26771390189727146, 0.49867939949035645, 0.8370324571927389)",0.3090183469999432
4,"(0.1316443, 0.52494454, 0.6833424)","(0.118013114, 0.565184, 0.58473194)","(0.09114984, 0.4988572, 0.7831774)","(0.16969769, 0.58173716, 0.6678151)","(0.12194433, 0.44167334, 0.6521358)","(0.36803764, 0.6282313, 0.8190305)","(0.33925578, 0.35634238, 0.904331)","(0.66680425, 0.6734754, 0.7848729)","(0.31944007, 0.21779995, 0.25303984)","(0.93491447, 0.74235034, 0.6710077)","(0.19094418, 0.35468394, 0.57051224)","(0.8263689, 0.60808027, 0.865347)","(0.82304907, 0.41857013, 0.8337343)","(0.96968484, 0.65495026, 0.110236585)","(0.98076665, 0.41095287, 0.09391937)","(0.9563463, 0.6155297, 0.08698368)","(0.963398, 0.4688444, 0.116058975)","(0.1458210088312626, 0.5117052495479584, 0.6599754393100739)",0.14798060059547424,"(0.2796459048986435, 0.5031727353731791, 0.8022346496582031)",0.29918882713993833
5,"(0.14618552, 0.5261244, 0.62121505)","(0.13345063, 0.5652475, 0.716752)","(0.10885441, 0.5019051, 0.7051743)","(0.18293884, 0.5815522, 0.5390345)","(0.13959685, 0.44724172, 0.6077381)","(0.37596112, 0.6300239, 0.90099454)","(0.3465525, 0.36265478, 0.9306767)","(0.6675241, 0.6702742, 0.7353867)","(0.3237927, 0.2115598, 0.23656535)","(0.93126833, 0.7404294, 0.6536305)","(0.18911529, 0.3690393, 0.5742625)","(0.82789266, 0.6117368, 0.87691385)","(0.8224439, 0.42396176, 0.8542154)","(0.97077787, 0.65790236, 0.114454)","(0.9778821, 0.4152561, 0.07261005)","(0.954188, 0.6187857, 0.08891216)","(0.95982075, 0.46855485, 0.0985764)","(0.16126784682273865, 0.5143969655036926, 0.5733862817287445)",0.14113055169582367,"(0.28956637779871625, 0.5062676966190338, 0.8176287611325582)",0.2894986046909891
6,"(0.16248631, 0.5279605, 0.75201833)","(0.15092793, 0.5661524, 0.75466716)","(0.12647724, 0.5059033, 0.5796578)","(0.19811383, 0.5817271, 0.61027944)","(0.15379336, 0.449869, 0.7983368)","(0.38791165, 0.63111466, 0.8278646)","(0.35862443, 0.36616942, 0.83109283)","(0.66850084, 0.67149806, 0.7239609)","(0.33293244, 0.21631801, 0.34009272)","(0.92855155, 0.7388999, 0.6552146)","(0.21766326, 0.37786722, 0.4767636)","(0.8298991, 0.61306834, 0.868003)","(0.82485425, 0.42634922, 0.85536253)","(0.97066486, 0.63800716, 0.13465846)","(0.9791342, 0.41536826, 0.086232245)","(0.95458066, 0.6194231, 0.098697096)","(0.9578924, 0.4498994, 0.12601256)","(0.17595359683036804, 0.5157980471849442, 0.7043081223964691)",0.1391073614358902,"(0.30300746361414593, 0.5084148546059927, 0.8036585847536722)",0.28374794952262594
7,"(0.17568046, 0.5303086, 0.77910113)","(0.16130583, 0.5681325, 0.6070092)","(0.14257494, 0.5072797, 0.56362975)","(0.21007513, 0.5855425, 0.6379937)","(0.17431271, 0.4545487, 0.737026)","(0.39798516, 0.6294666, 0.9016856)","(0.37026733, 0.37640578, 0.8690215)","(0.6751253, 0.66962004, 0.6738987)","(0.33319056, 0.21941975, 0.3294521)","(0.92869323, 0.73815936, 0.6172816)","(0.22176689, 0.38353747, 0.5721398)","(0.83475196, 0.6113111, 0.8724749)","(0.834309, 0.429529, 0.7971386)","(0.9548441, 0.65359277, 0.09518233)","(0.9779507, 0.41712797, 0.07363224)","(0.95529044, 0.64700365, 0.11196408)","(0.986959, 0.43493086, 0.1479178)","(0.1921939179301262, 0.520045593380928, 0.6875098347663879)",0.13578781485557556,"(0.31464431683222455, 0.5120603243509928, 0.8499360680580139)",0.2803137786752858
8,"(0.18888007, 0.5294598, 0.6987259)","(0.17861377, 0.56688035, 0.7538897)","(0.15778098, 0.5053288, 0.7600782)","(0.22498588, 0.5845591, 0.56913555)","(0.18843578, 0.45577347, 0.7030973)","(0.4055401, 0.63456666, 0.8149127)","(0.38029873, 0.37796527, 0.7531415)","(0.6760006, 0.6694944, 0.63392746)","(0.3318121, 0.22213368, 0.35112602)","(0.9282564, 0.73581284, 0.5950714)","(0.22575574, 0.38139126, 0.44178426)","(0.8336033, 0.6168213, 0.83810186)","(0.8261802, 0.43629658, 0.8487437)","(0.9728851, 0.6372777, 0.12856433)","(0.97739947, 0.4328122, 0.08339399)","(0.95742965, 0.64757514, 0.12848374)","(0.9568777, 0.45817953, 0.08692688)","(0.2067108303308487, 0.520166277885437, 0.6361164152622223)",0.13387174904346466,"(0.3249063044786453, 0.5139972368876139, 0.7555933594703674)",0.27380450143603896
9,"(0.20216358, 0.53232706, 0.82030714)","(0.19182879, 0.5671749, 0.7989514)","(0.17273562, 0.50927365, 0.78859556)","(0.23974071, 0.58315164, 0.5156343)","(0.2061896, 0.45337534, 0.7215241)","(0.41784775, 0.6366413, 0.925418)","(0.39451146, 0.37920803, 0.8635659)","(0.6730803, 0.66782755, 0.7080796)","(0.33811235, 0.23141895, 0.44755608)","(0.91456175, 0.73894477, 0.6040986)","(0.2502329, 0.3989113, 0.5560193)","(0.83324593, 0.6171508, 0.8455946)","(0.82850635, 0.44113684, 0.83664274)","(0.97114384, 0.6510017, 0.12522444)","(0.9776639, 0.43261546, 0.08218935)","(0.95132655, 0.617912, 0.10023135)","(0.9388861, 0.47139418, 0.0852409)","(0.22296515852212906, 0.5182634890079498, 0.6185792088508606)",0.1340431421995163,"(0.3381742636362712, 0.5160588026046753, 0.8697636922200521)",0.2739603104383002
