,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.3667885, 0.4668289, 0.65767723)","(0.35131598, 0.47736913, 0.46672556)","(0.3536038, 0.4518395, 0.53809)","(0.35930866, 0.49549755, 0.6444944)","(0.36497933, 0.43554816, 0.5529039)","(0.4242518, 0.53644246, 0.83088034)","(0.43023, 0.40493783, 0.80157983)","(0.51955616, 0.5480021, 0.48642778)","(0.54049546, 0.3866015, 0.44736287)","(0.57173026, 0.5285203, 0.49843252)","(0.59315825, 0.39115757, 0.51984704)","(0.6080806, 0.50709975, 0.7704964)","(0.6124935, 0.42606395, 0.7751703)","(0.7594577, 0.5371297, 0.6669986)","(0.7582747, 0.4232412, 0.59189904)","(0.9055912, 0.5637592, 0.68615615)","(0.8832056, 0.4245219, 0.63330144)","(0.36214399337768555, 0.4655228555202484, 0.598699152469635)",0.0602169968187809,"(0.40709009766578674, 0.46940306822458905, 0.7633791367212931)",0.08076743223779491
1,"(0.36026484, 0.4693416, 0.60530347)","(0.34495968, 0.48076305, 0.54252315)","(0.347432, 0.4555622, 0.51171756)","(0.3518662, 0.4989437, 0.56292534)","(0.35900873, 0.43969545, 0.55573934)","(0.41781795, 0.5381052, 0.7793764)","(0.42175144, 0.4098311, 0.79195154)","(0.51136106, 0.5455228, 0.5011202)","(0.5286093, 0.39034772, 0.5760338)","(0.5703012, 0.5363953, 0.5149548)","(0.5869304, 0.40084705, 0.4920303)","(0.5994777, 0.5130064, 0.7996836)","(0.6008229, 0.43266496, 0.6989104)","(0.7581967, 0.5348192, 0.77111924)","(0.7579545, 0.42380863, 0.6604982)","(0.91709083, 0.56420654, 0.7399546)","(0.88601685, 0.42383426, 0.6699084)","(0.3554374575614929, 0.46931956708431244, 0.5593323409557343)",0.05967721343040466,"(0.3999447425206502, 0.4724259674549103, 0.7255437970161438)",0.07959919922826657
2,"(0.35996628, 0.46987554, 0.56430095)","(0.34376952, 0.48116064, 0.5379251)","(0.3465987, 0.45535535, 0.57959145)","(0.35169077, 0.49978253, 0.5118393)","(0.3598356, 0.43923962, 0.551415)","(0.41743776, 0.5412487, 0.7527375)","(0.42573982, 0.41258976, 0.74351496)","(0.5103753, 0.55001616, 0.47321612)","(0.5260689, 0.39003882, 0.5541921)","(0.5676763, 0.5409694, 0.44319284)","(0.5839557, 0.39935517, 0.5079832)","(0.60120237, 0.5166699, 0.7827445)","(0.6019007, 0.43524203, 0.7104224)","(0.75803757, 0.5315869, 0.77258885)","(0.7574744, 0.42733666, 0.71120036)","(0.91618013, 0.5579921, 0.7679117)","(0.88668704, 0.42695624, 0.72870845)","(0.35576318204402924, 0.46951107680797577, 0.5316271483898163)",0.06108831614255905,"(0.4010479549566905, 0.4745713273684184, 0.6868511438369751)",0.08269835678780256
3,"(0.35856807, 0.4729949, 0.4078605)","(0.3431949, 0.4841281, 0.573305)","(0.3465413, 0.45817256, 0.5293767)","(0.35024655, 0.50165063, 0.5186929)","(0.36110443, 0.44278532, 0.64820254)","(0.4098466, 0.5412511, 0.63857514)","(0.4249267, 0.4172041, 0.690688)","(0.5000984, 0.55656123, 0.5348352)","(0.5223663, 0.40070772, 0.4916845)","(0.5693765, 0.5440785, 0.4719877)","(0.5823145, 0.40928316, 0.51803094)","(0.59317374, 0.51595473, 0.7496209)","(0.5999602, 0.44385862, 0.7805507)","(0.760993, 0.5313784, 0.79387593)","(0.7554405, 0.4273721, 0.65633214)","(0.9150076, 0.5550064, 0.80605245)","(0.88765967, 0.4310189, 0.7485062)","(0.35567548871040344, 0.47221797704696655, 0.5834477245807648)",0.05985831841826439,"(0.39778045813242596, 0.47715004285176593, 0.5790412127971649)",0.07886384380462165
4,"(0.35843062, 0.47588664, 0.41261458)","(0.34348756, 0.4864298, 0.6091837)","(0.34755164, 0.46125758, 0.597148)","(0.35244757, 0.50585335, 0.41829374)","(0.36302388, 0.44581378, 0.69912094)","(0.40937802, 0.54672074, 0.6871984)","(0.4318508, 0.4241644, 0.7158439)","(0.495453, 0.5638262, 0.4341044)","(0.51948506, 0.4061572, 0.5510809)","(0.5702957, 0.552075, 0.46702915)","(0.5863065, 0.41119063, 0.5907947)","(0.59725666, 0.52106917, 0.7699306)","(0.602626, 0.44373795, 0.7280627)","(0.7611208, 0.5336467, 0.79352784)","(0.7568051, 0.43085143, 0.6671967)","(0.91318476, 0.55328375, 0.81250334)","(0.88355315, 0.43108344, 0.7318205)","(0.3577357232570648, 0.47583356499671936, 0.5587073415517807)",0.06096399948000908,"(0.39988647898038227, 0.4822572668393453, 0.6052189668019613)",0.08388498698656036
5,"(0.36635524, 0.4797444, 0.52042776)","(0.35174522, 0.49077377, 0.52416146)","(0.35841858, 0.46523505, 0.60005265)","(0.35642478, 0.5097357, 0.59791666)","(0.37008554, 0.4500317, 0.73555946)","(0.4150828, 0.55174, 0.77796304)","(0.43786022, 0.43364668, 0.60120106)","(0.50625813, 0.5671593, 0.5542597)","(0.5283077, 0.4102008, 0.64042795)","(0.5788436, 0.5537299, 0.42136294)","(0.5833392, 0.41339254, 0.5506948)","(0.6005888, 0.5232034, 0.7658732)","(0.60394186, 0.4492796, 0.7149327)","(0.7620902, 0.53363657, 0.5379278)","(0.7532958, 0.42762202, 0.6840278)","(0.90672964, 0.5565311, 0.7681229)","(0.8852421, 0.42842016, 0.725665)","(0.3632551580667496, 0.47988370060920715, 0.6667380630970001)",0.06124691292643547,"(0.40643275777498883, 0.48837702473004657, 0.633197287718455)",0.08199340301386471
6,"(0.36920547, 0.4831314, 0.4881497)","(0.35561353, 0.49382418, 0.44710276)","(0.35975295, 0.468345, 0.64383394)","(0.35741216, 0.51224035, 0.58584297)","(0.37041172, 0.45238113, 0.6499675)","(0.41690654, 0.55611885, 0.7598387)","(0.44160292, 0.43283308, 0.5596899)","(0.5113534, 0.5713295, 0.45334876)","(0.5315956, 0.41069445, 0.6301765)","(0.5751689, 0.55223167, 0.32289302)","(0.5765617, 0.41668826, 0.49289334)","(0.60913396, 0.5227439, 0.77585614)","(0.61546594, 0.4494697, 0.7919484)","(0.7686564, 0.53883237, 0.5812067)","(0.7547371, 0.42807126, 0.63280094)","(0.91418016, 0.5547557, 0.74527776)","(0.8895693, 0.42434233, 0.6701413)","(0.3639119416475296, 0.4823107421398163, 0.6179052293300629)",0.061254505068063736,"(0.4092383086681366, 0.49069444338480633, 0.6025594274202982)",0.08148195572033438
7,"(0.36733326, 0.48428953, 0.6082139)","(0.35262924, 0.4943293, 0.5247235)","(0.35909986, 0.46849304, 0.5960348)","(0.3570739, 0.5132872, 0.62741673)","(0.37067303, 0.4529258, 0.701541)","(0.41749293, 0.5588881, 0.77137184)","(0.4338268, 0.4324534, 0.6547545)","(0.5142141, 0.5646856, 0.37306616)","(0.5211763, 0.4156141, 0.5419713)","(0.57236814, 0.55840635, 0.46990147)","(0.5737058, 0.41329786, 0.4430071)","(0.6069743, 0.52228785, 0.7691928)","(0.6125461, 0.45000392, 0.7852098)","(0.77052283, 0.5401189, 0.5651804)","(0.7566472, 0.42389807, 0.71599865)","(0.91527766, 0.55383617, 0.7386744)","(0.8921916, 0.42510325, 0.6791467)","(0.3638734668493271, 0.48310649394989014, 0.6644788682460785)",0.06187433376908302,"(0.40621766448020935, 0.4918769995371501, 0.6781134208043417)",0.07923550735740356
8,"(0.3706184, 0.48796198, 0.5889225)","(0.3575229, 0.4986472, 0.50434136)","(0.36114824, 0.47193038, 0.6578506)","(0.36017573, 0.51472175, 0.66008896)","(0.37135231, 0.45754826, 0.57688737)","(0.41767916, 0.5618439, 0.7451088)","(0.43671748, 0.43676826, 0.55096996)","(0.51123095, 0.57537544, 0.4749355)","(0.5159097, 0.42494756, 0.35630292)","(0.5635072, 0.5663121, 0.46548206)","(0.5611373, 0.41703102, 0.49330685)","(0.6024853, 0.5285659, 0.7365695)","(0.6015779, 0.45280993, 0.6396711)","(0.76905245, 0.54078984, 0.6509192)","(0.7557025, 0.41818294, 0.60408634)","(0.9180557, 0.55521965, 0.75508034)","(0.8895029, 0.41723806, 0.5885346)","(0.3657640218734741, 0.48613500595092773, 0.6184881627559662)",0.05825567990541458,"(0.40833834807078045, 0.49552470445632935, 0.6283337473869324)",0.07694125278423626
9,"(0.3694905, 0.48843455, 0.56597596)","(0.3560581, 0.49805987, 0.39499384)","(0.36119828, 0.4711116, 0.73274434)","(0.35998446, 0.51637614, 0.679671)","(0.3732838, 0.45676714, 0.6066444)","(0.4171781, 0.5638199, 0.6743491)","(0.43988067, 0.4395525, 0.67378044)","(0.5230381, 0.5788555, 0.46749067)","(0.5682558, 0.43223497, 0.56071883)","(0.55876553, 0.56779337, 0.44685763)","(0.52101415, 0.41821647, 0.3712105)","(0.61088145, 0.5334306, 0.8015288)","(0.6098833, 0.45892566, 0.7331802)","(0.7689373, 0.54332036, 0.6317824)","(0.75608444, 0.40990672, 0.7658323)","(0.9090537, 0.5544753, 0.7664225)","(0.89369726, 0.41897863, 0.34531346)","(0.3666341304779053, 0.48657163977622986, 0.6431576907634735)",0.06107458472251892,"(0.4088497559229533, 0.4972689747810364, 0.6380351781845093)",0.08067707720800396
