,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.27633953, 0.4022169, 0.5989279)","(0.26011518, 0.42164195, 0.7372275)","(0.25852662, 0.3878234, 0.71754193)","(0.27898663, 0.43918443, 0.6772667)","(0.2723006, 0.36268252, 0.71703565)","(0.36912775, 0.4532853, 0.76435924)","(0.3378148, 0.3319816, 0.59098136)","(0.46925604, 0.48512828, 0.44085085)","(0.46236563, 0.43014905, 0.3406365)","(0.51234066, 0.5693731, 0.49561507)","(0.5143055, 0.5512527, 0.4468531)","(0.56445247, 0.46600765, 0.7669897)","(0.56907326, 0.37699306, 0.82100976)","(0.71264285, 0.54967666, 0.84984934)","(0.72350377, 0.33050364, 0.70189536)","(0.83688295, 0.53445995, 0.8087049)","(0.84031415, 0.24713843, 0.70586455)","(0.27564361691474915, 0.40093347430229187, 0.6971511840820312)",0.07679352164268494,"(0.3277606964111328, 0.39582793911298114, 0.6514228383700053)",0.10363310713711882
1,"(0.27639717, 0.40211004, 0.59919995)","(0.26017168, 0.42157656, 0.7353182)","(0.25856668, 0.38767397, 0.71706545)","(0.27907425, 0.43913937, 0.6765639)","(0.27226144, 0.3625402, 0.71615875)","(0.36899507, 0.45306882, 0.7653966)","(0.33778596, 0.33212167, 0.5901754)","(0.469262, 0.4851129, 0.43981794)","(0.46160626, 0.44333327, 0.32129475)","(0.51226056, 0.56942046, 0.4937738)","(0.51437104, 0.5515888, 0.450902)","(0.56451005, 0.46612716, 0.7646023)","(0.569158, 0.37709695, 0.82057756)","(0.7126777, 0.54967856, 0.8505138)","(0.72366536, 0.33033, 0.7046262)","(0.8377584, 0.5345197, 0.8098564)","(0.8404906, 0.24695623, 0.7024532)","(0.27566784620285034, 0.40083977580070496, 0.6963613331317902)",0.07690155506134033,"(0.3277260661125183, 0.39576684435208637, 0.6515906453132629)",0.10343871324668608
2,"(0.2764426, 0.40211245, 0.5996862)","(0.2602014, 0.4215747, 0.73509526)","(0.2585919, 0.38766417, 0.71722126)","(0.2791191, 0.43913466, 0.6766208)","(0.2722884, 0.3625457, 0.71640885)","(0.3690245, 0.45305058, 0.76528776)","(0.3377961, 0.33211392, 0.5899966)","(0.46926293, 0.48511, 0.4397477)","(0.46161324, 0.44333088, 0.32110888)","(0.51227045, 0.5694176, 0.4936344)","(0.5143637, 0.5515867, 0.45108423)","(0.5644746, 0.4661418, 0.764182)","(0.5691172, 0.3771245, 0.82026505)","(0.71267295, 0.5497007, 0.8501072)","(0.7235424, 0.33047128, 0.703212)","(0.83769774, 0.53438884, 0.81014764)","(0.84051555, 0.24703264, 0.70344734)","(0.2757037580013275, 0.4008401781320572, 0.6965148150920868)",0.07689295709133148,"(0.3277543882528941, 0.3957589864730835, 0.6516568462053934)",0.10340730073100723
3,"(0.2585309, 0.41894174, 0.5994105)","(0.24087058, 0.43278915, 0.6944909)","(0.24492924, 0.3998996, 0.6846396)","(0.25216848, 0.45284712, 0.6185914)","(0.26142216, 0.38187346, 0.7570144)","(0.33284628, 0.4881538, 0.8220577)","(0.32788956, 0.34773546, 0.71539307)","(0.4103547, 0.55192536, 0.40737945)","(0.41459352, 0.4217407, 0.48996052)","(0.41348422, 0.6120647, 0.4752821)","(0.42183265, 0.53791755, 0.2683766)","(0.5369904, 0.48763627, 0.82211757)","(0.54073536, 0.39132774, 0.7762089)","(0.6931161, 0.5565547, 0.70549726)","(0.68970865, 0.32661575, 0.8618121)","(0.8462333, 0.5295518, 0.877597)","(0.83620155, 0.25035784, 0.80528283)","(0.25679531693458557, 0.4173602908849716, 0.6878029108047485)",0.0715743750333786,"(0.3064222534497579, 0.41827699542045593, 0.7122870882352194)",0.09579190361571607
4,"(0.25842243, 0.41888297, 0.5954064)","(0.24078004, 0.43274218, 0.69431674)","(0.24480191, 0.39989924, 0.6857705)","(0.25217724, 0.45287296, 0.6169079)","(0.26136672, 0.38190013, 0.7548847)","(0.33279642, 0.48820323, 0.82208514)","(0.32802087, 0.34771225, 0.7168492)","(0.41015553, 0.55216014, 0.40631703)","(0.41277993, 0.4351977, 0.38170955)","(0.4135173, 0.6117989, 0.47125664)","(0.41976327, 0.5551447, 0.22834638)","(0.53705007, 0.4878671, 0.82071114)","(0.540578, 0.39133796, 0.7749097)","(0.6932596, 0.5565831, 0.7082461)","(0.68970436, 0.32660383, 0.8613)","(0.84598815, 0.52943486, 0.8779175)","(0.83564794, 0.2505319, 0.81033456)","(0.256771981716156, 0.4173865467309952, 0.6858963072299957)",0.07156527787446976,"(0.30641324321428937, 0.4182661473751068, 0.7114469210306803)",0.09598954531899748
5,"(0.2584108, 0.41893923, 0.5960491)","(0.24077402, 0.43277606, 0.69469196)","(0.24482, 0.3999436, 0.6866473)","(0.25215036, 0.45289943, 0.6159251)","(0.261378, 0.38194633, 0.7556413)","(0.3328002, 0.48825157, 0.8213397)","(0.32801566, 0.34778792, 0.71827424)","(0.4101679, 0.55255663, 0.4066687)","(0.41524002, 0.4218378, 0.48753062)","(0.4135872, 0.6118536, 0.4707252)","(0.4198624, 0.555164, 0.22937348)","(0.5371307, 0.4878305, 0.82073325)","(0.5406225, 0.39146042, 0.7765359)","(0.6932955, 0.55666125, 0.70879394)","(0.6897468, 0.32665008, 0.8603693)","(0.84606934, 0.5294317, 0.87785816)","(0.8356425, 0.25053707, 0.80983794)","(0.25676417350769043, 0.4174228757619858, 0.685783177614212)",0.07155062258243561,"(0.30640889207522076, 0.4183262387911479, 0.7118876775105795)",0.09600398966425569
6,"(0.21628714, 0.42789185, 0.67045283)","(0.19911258, 0.44148347, 0.77134055)","(0.20414309, 0.41157955, 0.72460747)","(0.21590064, 0.46597978, 0.790017)","(0.2269213, 0.39515206, 0.6261418)","(0.30585945, 0.5212565, 0.7415858)","(0.30327886, 0.35841486, 0.8448925)","(0.2998374, 0.6259856, 0.72828996)","(0.31277785, 0.30609325, 0.7141819)","(0.2695009, 0.5857085, 0.46306115)","(0.28311458, 0.41875145, 0.35387963)","(0.5146848, 0.50052905, 0.8390167)","(0.5143024, 0.4053597, 0.9040033)","(0.69615865, 0.5323112, 0.7757896)","(0.67956173, 0.347723, 0.67247695)","(0.8451993, 0.52932984, 0.85904855)","(0.8168081, 0.29680067, 0.75607955)","(0.22141097486019135, 0.4305659234523773, 0.7080793976783752)",0.0716799944639206,"(0.2751418153444926, 0.43585440516471863, 0.7523103753725687)",0.11878174184306765
7,"(0.21628165, 0.4277384, 0.67243505)","(0.1992234, 0.44136482, 0.76573503)","(0.20413423, 0.41150412, 0.72237164)","(0.21594666, 0.46579683, 0.7880353)","(0.22677146, 0.39514387, 0.62805396)","(0.3054726, 0.5209458, 0.7394806)","(0.3031804, 0.35815567, 0.8439814)","(0.29972464, 0.6259413, 0.729061)","(0.31273454, 0.3062157, 0.7173258)","(0.26935253, 0.58481795, 0.4678727)","(0.28350848, 0.41858327, 0.3536359)","(0.5145, 0.5005118, 0.8361267)","(0.5141612, 0.40529412, 0.9038305)","(0.69554776, 0.5322104, 0.77441734)","(0.6785507, 0.34801146, 0.6653731)","(0.8447167, 0.52978504, 0.86014354)","(0.81607527, 0.29660273, 0.76033455)","(0.22135905921459198, 0.43047034740448, 0.7080446183681488)",0.07147739082574844,"(0.2749782204627991, 0.43561328450838727, 0.7519656817118326)",0.11844493959637621
8,"(0.216358, 0.4277379, 0.6748574)","(0.1993376, 0.4413694, 0.7650139)","(0.20422485, 0.411496, 0.7213857)","(0.2159643, 0.46578488, 0.78820723)","(0.22676086, 0.39513358, 0.62818104)","(0.30535704, 0.52084315, 0.7382943)","(0.3031209, 0.35807467, 0.84373534)","(0.2996704, 0.6258707, 0.72935295)","(0.3127628, 0.30623198, 0.7171154)","(0.2692552, 0.58470285, 0.46767002)","(0.28339338, 0.4186514, 0.3538229)","(0.5145153, 0.50049525, 0.8357408)","(0.51424056, 0.40525874, 0.904032)","(0.6952894, 0.5322597, 0.7743155)","(0.678689, 0.3479727, 0.66655284)","(0.8444743, 0.529773, 0.8603684)","(0.81616277, 0.29652768, 0.7572198)","(0.22136258333921432, 0.43045923113822937, 0.7081941366195679)",0.07147146761417389,"(0.27494531869888306, 0.43555190165837604, 0.7522956728935242)",0.11821221529522556
9,"(0.19637576, 0.43077335, 0.573812)","(0.18185073, 0.44614005, 0.76492417)","(0.18534094, 0.4176529, 0.5137185)","(0.20517102, 0.46739334, 0.6887095)","(0.20507579, 0.39786392, 0.5868392)","(0.27688545, 0.5165683, 0.5505009)","(0.27193034, 0.35659397, 0.70552194)","(0.29494932, 0.62956405, 0.6148294)","(0.29455876, 0.2995342, 0.60013866)","(0.309906, 0.57664275, 0.33791843)","(0.32530707, 0.36920094, 0.40259916)","(0.5030514, 0.50152886, 0.88666356)","(0.50571644, 0.40282953, 0.86692584)","(0.70203066, 0.5284619, 0.831264)","(0.6553824, 0.3698315, 0.67081034)","(0.83148783, 0.53698426, 0.8251368)","(0.7107407, 0.39348972, 0.46898633)","(0.2051234021782875, 0.4326286315917969, 0.6377743482589722)",0.06952948123216629,"(0.24839718143145242, 0.4346452057361603, 0.6099449594815572)",0.10433062518269573
