,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.27290127, 0.45210302, 0.40012908)","(0.2634864, 0.4681214, 0.6126658)","(0.26277465, 0.44097042, 0.66438895)","(0.27897996, 0.48100752, 0.6390753)","(0.27643833, 0.4293334, 0.65449035)","(0.32598722, 0.5156707, 0.7711954)","(0.34794098, 0.40508348, 0.65376794)","(0.40980887, 0.53522456, 0.46995774)","(0.44576868, 0.37467167, 0.42521623)","(0.43243033, 0.5375948, 0.2219342)","(0.49742115, 0.3761785, 0.2619341)","(0.50214934, 0.5337249, 0.71067995)","(0.5155929, 0.47185552, 0.73557687)","(0.6544865, 0.5798409, 0.8204902)","(0.6679722, 0.47879022, 0.82158405)","(0.7961134, 0.6099819, 0.8483412)","(0.797686, 0.47088033, 0.8452167)","(0.27770914137363434, 0.4551704525947571, 0.6467828154563904)",0.05173659697175026,"(0.3156098226706187, 0.4576190710067749, 0.6083641449610392)",0.08612659463374157
1,"(0.27216733, 0.45313808, 0.39623916)","(0.26330748, 0.46950898, 0.60042006)","(0.2624917, 0.442291, 0.6823459)","(0.27921346, 0.48225027, 0.66835403)","(0.2771292, 0.42907068, 0.6586341)","(0.3295554, 0.51492405, 0.751356)","(0.34735316, 0.40692776, 0.78836507)","(0.4084811, 0.5376047, 0.52439666)","(0.4420395, 0.37093568, 0.45397297)","(0.40561593, 0.530253, 0.134292)","(0.49277517, 0.36638457, 0.32046485)","(0.49971172, 0.53638685, 0.73740065)","(0.5127134, 0.47253916, 0.803983)","(0.65583456, 0.5807359, 0.81552666)","(0.66384095, 0.4819181, 0.7465031)","(0.80049103, 0.60714877, 0.5540015)","(0.79843855, 0.47378486, 0.8221208)","(0.2781713306903839, 0.45566047728061676, 0.6634940803050995)",0.05322042107582092,"(0.31635862588882446, 0.4583299656709035, 0.6453200777371725)",0.08899048748899675
2,"(0.2748853, 0.45494825, 0.46307388)","(0.26527554, 0.47119993, 0.5823904)","(0.26382974, 0.44454235, 0.653445)","(0.28207582, 0.48325533, 0.6968466)","(0.27799755, 0.43527263, 0.5956671)","(0.3319491, 0.5168269, 0.65860033)","(0.34356946, 0.4164648, 0.68894315)","(0.40781543, 0.53622115, 0.5521412)","(0.44087955, 0.39573634, 0.25169235)","(0.43565267, 0.54581267, 0.1664465)","(0.4966845, 0.3784854, 0.24447039)","(0.5035237, 0.53873235, 0.7575737)","(0.51221436, 0.4761721, 0.7369772)","(0.6579443, 0.5768576, 0.7864021)","(0.6646114, 0.48224777, 0.746988)","(0.7975882, 0.6060573, 0.6272508)","(0.7954178, 0.47403356, 0.7020957)","(0.28003668785095215, 0.45926398038864136, 0.6462568640708923)",0.04815569519996643,"(0.3168012897173564, 0.4627466599146525, 0.6035391191641489)",0.08527052744179343
3,"(0.27942574, 0.45751637, 0.5072681)","(0.26771027, 0.47296926, 0.54342264)","(0.26639777, 0.44428748, 0.67374456)","(0.2826769, 0.48393688, 0.7048215)","(0.28029087, 0.43423077, 0.6341568)","(0.33375, 0.51679456, 0.6537893)","(0.3429607, 0.4165792, 0.6568042)","(0.4097036, 0.5388791, 0.51915634)","(0.4277761, 0.37431413, 0.45949078)","(0.43645567, 0.5466546, 0.21984306)","(0.49424538, 0.37759888, 0.28666475)","(0.49825668, 0.5362357, 0.7453532)","(0.50976026, 0.4741076, 0.7922936)","(0.6555466, 0.57095623, 0.7966074)","(0.661842, 0.48285693, 0.7553977)","(0.7898241, 0.5952541, 0.7466997)","(0.79848504, 0.4732109, 0.5464213)","(0.28148388862609863, 0.45908382534980774, 0.669489175081253)",0.04976333677768707,"(0.31871214509010315, 0.4636300404866536, 0.6059538523356119)",0.0795185147185524
4,"(0.28393114, 0.46559864, 0.55450356)","(0.27214542, 0.47236413, 0.36323237)","(0.27015886, 0.45459634, 0.50366354)","(0.28645837, 0.48457927, 0.64542794)","(0.28393668, 0.43635607, 0.50023705)","(0.33168265, 0.5150522, 0.5693382)","(0.33806086, 0.42167673, 0.60036594)","(0.41137153, 0.54243547, 0.5311955)","(0.4267754, 0.37252307, 0.44932503)","(0.4573407, 0.5606868, 0.19869241)","(0.49315703, 0.37424856, 0.19956756)","(0.49698067, 0.5273761, 0.67592925)","(0.5060132, 0.47874147, 0.6918723)","(0.6540765, 0.55096114, 0.57051694)","(0.6560762, 0.48729464, 0.734138)","(0.79089254, 0.58424234, 0.5524805)","(0.79666626, 0.47791868, 0.456232)","(0.28519752621650696, 0.460467666387558, 0.5728324949741364)",0.04828908294439316,"(0.31789154807726544, 0.4674425224463145, 0.5747358997662863)",0.06802086361093913
5,"(0.28688884, 0.46317554, 0.5595841)","(0.2745661, 0.47341025, 0.3787315)","(0.27400106, 0.4510616, 0.50190663)","(0.2856975, 0.4909811, 0.46063438)","(0.28993392, 0.43458447, 0.5403456)","(0.34195682, 0.51653314, 0.66128814)","(0.351104, 0.41280302, 0.59733236)","(0.42704508, 0.5534372, 0.6001257)","(0.44965696, 0.37303537, 0.42473814)","(0.5181313, 0.60825807, 0.47530237)","(0.500546, 0.37637073, 0.19939259)","(0.5022495, 0.53262717, 0.6742484)","(0.51509464, 0.47349137, 0.7665194)","(0.65508974, 0.5600605, 0.73495483)","(0.6670743, 0.47761887, 0.70761144)","(0.78741086, 0.58391, 0.69023156)","(0.800178, 0.4757907, 0.7096184)","(0.2878157049417496, 0.4627827852964401, 0.5004899948835373)",0.056555524468421936,"(0.3266498843828837, 0.46417056520779926, 0.6060681939125061)",0.07954699011122929
6,"(0.28974062, 0.46809036, 0.590482)","(0.27634835, 0.477848, 0.50436556)","(0.27475438, 0.4547015, 0.53477454)","(0.2916376, 0.49330324, 0.5670537)","(0.28952074, 0.43315285, 0.52991563)","(0.34587735, 0.52001226, 0.67512333)","(0.35096836, 0.4109162, 0.6645267)","(0.4257842, 0.5523621, 0.5620469)","(0.43989736, 0.36750972, 0.44577387)","(0.5193632, 0.5913737, 0.41040123)","(0.47391078, 0.34916443, 0.2894434)","(0.5065507, 0.5370997, 0.7739089)","(0.5179908, 0.47030112, 0.74077225)","(0.65536904, 0.5533807, 0.7678373)","(0.67055553, 0.47795188, 0.8202829)","(0.78586024, 0.57388496, 0.69826436)","(0.8014066, 0.47686014, 0.8093419)","(0.2905791699886322, 0.4632280468940735, 0.5484846532344818)",0.06018762290477753,"(0.32886211077372235, 0.4663396080334981, 0.6433773438135783)",0.07832128693499853
7,"(0.28763533, 0.46398482, 0.5780745)","(0.27424318, 0.47397706, 0.37529507)","(0.2747646, 0.4506969, 0.53075445)","(0.29111534, 0.49074167, 0.57760733)","(0.29145664, 0.43276486, 0.5804255)","(0.34422886, 0.52097446, 0.729063)","(0.36275297, 0.41688293, 0.74800074)","(0.4239577, 0.5528867, 0.5562692)","(0.44179112, 0.36975032, 0.42208683)","(0.5186308, 0.58937067, 0.3391386)","(0.44490945, 0.34639895, 0.2694003)","(0.51503587, 0.54086083, 0.7745111)","(0.5252186, 0.47052544, 0.78695965)","(0.6606387, 0.5475748, 0.69651717)","(0.6742129, 0.4751521, 0.8408668)","(0.786752, 0.5759207, 0.592595)","(0.8082074, 0.47772092, 0.79379964)","(0.29128599166870117, 0.4617532640695572, 0.5790164172649384)",0.057977817952632904,"(0.33153905471165973, 0.46728073557217914, 0.6850460767745972)",0.08805453851824695
8,"(0.29125392, 0.4739949, 0.41274214)","(0.278508, 0.47886345, 0.5043551)","(0.2791772, 0.4568835, 0.55926216)","(0.29081166, 0.49282092, 0.44697073)","(0.29575294, 0.43859047, 0.5337096)","(0.35231242, 0.52256095, 0.6915447)","(0.35800776, 0.4232975, 0.7457303)","(0.43475053, 0.5500957, 0.5125415)","(0.44267184, 0.38164783, 0.32565707)","(0.52659607, 0.58134085, 0.37887308)","(0.46726072, 0.35073146, 0.2486254)","(0.5207465, 0.5379181, 0.76115716)","(0.5284699, 0.469853, 0.7774137)","(0.66459036, 0.5513193, 0.7005591)","(0.67568374, 0.47302434, 0.84794223)","(0.7869849, 0.5765965, 0.5669562)","(0.80504715, 0.47951895, 0.80339634)","(0.29328230023384094, 0.4657056927680969, 0.4903401583433151)",0.05445510149002075,"(0.3338580330212911, 0.47328445315361023, 0.6166723767916361)",0.08522006392713928
9,"(0.2901969, 0.46914908, 0.40876368)","(0.27845594, 0.47648463, 0.4793001)","(0.27954268, 0.45498878, 0.6173195)","(0.28946272, 0.49547216, 0.513588)","(0.29562193, 0.43824184, 0.55500287)","(0.34764397, 0.52048516, 0.72518545)","(0.36013794, 0.4249208, 0.7416628)","(0.42701966, 0.5391901, 0.5134092)","(0.43774796, 0.39113137, 0.3300755)","(0.43392712, 0.5282398, 0.19602126)","(0.50115585, 0.4025651, 0.17800272)","(0.52052677, 0.53038335, 0.7619555)","(0.52696586, 0.46579182, 0.7878148)","(0.67041063, 0.53812325, 0.7409572)","(0.6799092, 0.46829638, 0.8649301)","(0.79049504, 0.5744444, 0.58769864)","(0.8035249, 0.480869, 0.7583763)","(0.29254232347011566, 0.4668570011854172, 0.5342954397201538)",0.05756080150604248,"(0.33265960216522217, 0.4715183476607005, 0.6252039770285288)",0.08505750676827206
