,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.243265, 0.5064471, 0.31585652)","(0.21572255, 0.51484287, 0.3955481)","(0.2238687, 0.5093956, 0.27839935)","(0.21445665, 0.5435067, 0.42981246)","(0.21152574, 0.52752674, 0.38201523)","(0.25365114, 0.55047256, 0.3949893)","(0.253185, 0.5309206, 0.45488665)","(0.40046787, 0.5842292, 0.25276616)","(0.41415757, 0.4476386, 0.40214774)","(0.47532433, 0.58926225, 0.17263031)","(0.5462254, 0.44388336, 0.3845989)","(0.503466, 0.55224335, 0.57386976)","(0.5077851, 0.49146888, 0.5979679)","(0.71760213, 0.54918456, 0.72531784)","(0.7147949, 0.38993594, 0.5105659)","(0.87841415, 0.53937036, 0.6277602)","(0.87607384, 0.4026812, 0.6498962)","(0.21299119293689728, 0.5355167090892792, 0.405913844704628)",0.016246503219008446,"(0.25003371636072796, 0.5292800863583883, 0.38857749104499817)",0.04763031835414254
1,"(0.24665849, 0.5312269, 0.3460306)","(0.22064593, 0.53767544, 0.4247013)","(0.22159761, 0.5296823, 0.39638537)","(0.22592853, 0.5633565, 0.40676865)","(0.2188143, 0.5349418, 0.46214253)","(0.29447296, 0.6009899, 0.19291162)","(0.25400373, 0.52438575, 0.50345325)","(0.41028023, 0.593587, 0.38772494)","(0.41788363, 0.4549325, 0.40056783)","(0.45664477, 0.5788995, 0.28396273)","(0.4828515, 0.4379893, 0.2903647)","(0.49302393, 0.55741405, 0.6266464)","(0.49311274, 0.48438048, 0.61429614)","(0.717733, 0.55351573, 0.721787)","(0.7115295, 0.4008611, 0.45084655)","(0.8844805, 0.5372273, 0.75368905)","(0.8814918, 0.40642613, 0.592093)","(0.2223714143037796, 0.5491491556167603, 0.43445558845996857)",0.0292917899787426,"(0.26504506170749664, 0.5522008339564005, 0.3474651575088501)",0.055784337352558125
2,"(0.31091917, 0.5060249, 0.29930568)","(0.28875238, 0.5207212, 0.29382402)","(0.29353616, 0.4992462, 0.28629774)","(0.28047675, 0.5472505, 0.3081501)","(0.28995314, 0.5013429, 0.31247896)","(0.35254312, 0.5858775, 0.5155834)","(0.3504877, 0.46291015, 0.4441081)","(0.41507697, 0.591064, 0.34996557)","(0.46481985, 0.44000766, 0.5769281)","(0.4688589, 0.58118904, 0.14004299)","(0.5708712, 0.44618917, 0.45666763)","(0.5346087, 0.56865454, 0.66679144)","(0.54931176, 0.48301524, 0.6450674)","(0.735379, 0.54679614, 0.6764353)","(0.7292743, 0.38511628, 0.6213844)","(0.900371, 0.5364332, 0.73688596)","(0.8913931, 0.40373075, 0.69734913)","(0.28521494567394257, 0.5242967009544373, 0.3103145360946655)",0.0468754880130291,"(0.33798333009084064, 0.5182708402474722, 0.41966572403907776)",0.05941151816219674
3,"(0.2830704, 0.49156475, 0.20068794)","(0.25095773, 0.495501, 0.37294433)","(0.253116, 0.49191886, 0.32317853)","(0.2259489, 0.5327275, 0.47174892)","(0.2342262, 0.51838565, 0.36441422)","(0.29308718, 0.5799298, 0.19304398)","(0.28930527, 0.5033172, 0.35114115)","(0.40872058, 0.58835924, 0.35953885)","(0.42908508, 0.4481586, 0.5885742)","(0.3514549, 0.5420854, 0.24409834)","(0.5727757, 0.44713616, 0.37665266)","(0.5199671, 0.56287795, 0.626091)","(0.5252621, 0.48782063, 0.6177881)","(0.73347294, 0.5510455, 0.76035106)","(0.7340681, 0.38433224, 0.53290135)","(0.8979466, 0.5382747, 0.8053724)","(0.8949337, 0.40891337, 0.73268855)","(0.230087548494339, 0.5255565643310547, 0.4180815666913986)",0.016559038311243057,"(0.28848761320114136, 0.5249372522036234, 0.24829102555910745)",0.06761864284236846
4,"(0.23254415, 0.5039375, 0.3186771)","(0.21275422, 0.51279205, 0.3993052)","(0.21382898, 0.50729454, 0.32846463)","(0.20749521, 0.5425434, 0.38169348)","(0.20955066, 0.5226251, 0.34171808)","(0.24718437, 0.58329844, 0.4642849)","(0.28215185, 0.4893852, 0.28100306)","(0.40754837, 0.5916462, 0.43276656)","(0.4115873, 0.44951028, 0.52253914)","(0.50782925, 0.5990369, 0.13056368)","(0.5540413, 0.4421007, 0.47981116)","(0.4951151, 0.55669194, 0.6448275)","(0.49755582, 0.48232013, 0.5776558)","(0.73685783, 0.5539345, 0.6479273)","(0.73961186, 0.38293895, 0.6487461)","(0.90416265, 0.5386474, 0.5892583)","(0.90377903, 0.4082815, 0.48925084)","(0.20852293819189072, 0.5325842499732971, 0.3617057800292969)",0.020024096593260765,"(0.25396012266476947, 0.5255403717358907, 0.3546550174554189)",0.06083842620631337
5,"(0.29682642, 0.5211263, 0.25461113)","(0.27365828, 0.53057504, 0.3509892)","(0.27387786, 0.5226444, 0.25217128)","(0.25794894, 0.5564762, 0.24621221)","(0.26249886, 0.52440715, 0.20349607)","(0.33336353, 0.58471483, 0.3738095)","(0.32501486, 0.47569117, 0.28393558)","(0.44774002, 0.59150064, 0.25566113)","(0.44732374, 0.44573456, 0.6228054)","(0.55254245, 0.603009, 0.0928362)","(0.5708689, 0.45092762, 0.4815155)","(0.5072616, 0.5615611, 0.61505944)","(0.5105361, 0.48392665, 0.61803186)","(0.7523515, 0.5557035, 0.6809728)","(0.7443251, 0.37803072, 0.64231986)","(0.91573656, 0.5394969, 0.780846)","(0.91388834, 0.4066301, 0.7176633)","(0.2602238953113556, 0.5404416620731354, 0.22485414147377014)",0.03239018842577934,"(0.31840160489082336, 0.5271774232387543, 0.3041187326113383)",0.044815397330600186
6,"(0.29198873, 0.4943214, 0.22516346)","(0.2690043, 0.50597024, 0.29200917)","(0.27196366, 0.4926902, 0.26573306)","(0.26001233, 0.5452175, 0.28887367)","(0.2645792, 0.5062736, 0.21028438)","(0.33596468, 0.5825634, 0.436383)","(0.33142328, 0.4676909, 0.40612847)","(0.46970022, 0.5977905, 0.40018466)","(0.4488814, 0.44463667, 0.6058069)","(0.5823186, 0.6171187, 0.10380852)","(0.5753566, 0.4468279, 0.4423756)","(0.5315484, 0.55909854, 0.6722584)","(0.5360804, 0.4787936, 0.6539997)","(0.7563007, 0.55248404, 0.7616344)","(0.75118196, 0.3731609, 0.7200335)","(0.9174484, 0.5384186, 0.83307326)","(0.9170004, 0.40721047, 0.7472502)","(0.26229576766490936, 0.5257455706596375, 0.2495790272951126)",0.03921074792742729,"(0.3197922309239705, 0.5148585736751556, 0.3558916449546814)",0.06913204468027095
7,"(0.23731518, 0.5102679, 0.40282065)","(0.21734592, 0.5170611, 0.40129423)","(0.22550754, 0.51267636, 0.32690242)","(0.22352356, 0.5433819, 0.35744306)","(0.21545437, 0.5350234, 0.44682568)","(0.29643738, 0.5756111, 0.18631598)","(0.26847374, 0.52427167, 0.36487448)","(0.42446178, 0.584461, 0.35702845)","(0.4290154, 0.45062798, 0.43916234)","(0.50589305, 0.5874547, 0.1305953)","(0.5622318, 0.44005188, 0.5208731)","(0.5104059, 0.55245274, 0.6355384)","(0.51406324, 0.4830365, 0.62251675)","(0.7608444, 0.5572552, 0.6120591)","(0.7565031, 0.37820393, 0.6057623)","(0.9223456, 0.53957415, 0.6301718)","(0.924405, 0.40565842, 0.60583353)","(0.2194889634847641, 0.5392026603221893, 0.40213437378406525)",0.01161795761436224,"(0.2674087683359782, 0.536716898282369, 0.31800370415051776)",0.08012922035505998
8,"(0.274182, 0.50664645, 0.3403631)","(0.25087345, 0.52244055, 0.3319527)","(0.2519026, 0.5082997, 0.28585178)","(0.26297858, 0.55616343, 0.2740441)","(0.2634614, 0.5079367, 0.2227985)","(0.34001356, 0.58419824, 0.46763515)","(0.3455881, 0.4575449, 0.3533324)","(0.47469136, 0.5907136, 0.4132091)","(0.46522957, 0.4344178, 0.67028093)","(0.63369715, 0.63543385, 0.31834912)","(0.6088095, 0.44490224, 0.41150084)","(0.54425126, 0.56705487, 0.5847708)","(0.54999626, 0.48392332, 0.59637344)","(0.7735259, 0.5562918, 0.62180275)","(0.7593148, 0.3718207, 0.694628)","(0.9396064, 0.5355728, 0.7849944)","(0.9414661, 0.40093875, 0.6970713)","(0.26321999728679657, 0.5320500731468201, 0.2484212964773178)",0.04822912812232971,"(0.3199278811613719, 0.516129861275355, 0.38711021343866986)",0.09343706757489878
9,"(0.27160496, 0.4886814, 0.30742556)","(0.2586422, 0.5037558, 0.23423752)","(0.26068574, 0.48414952, 0.2960509)","(0.26284736, 0.5426748, 0.33326915)","(0.2657251, 0.48667705, 0.26694483)","(0.36041415, 0.58383644, 0.5603784)","(0.3522267, 0.4401141, 0.49808034)","(0.47769493, 0.59843254, 0.4779366)","(0.47112507, 0.4267913, 0.64695334)","(0.635444, 0.63857853, 0.34004492)","(0.59391904, 0.43665707, 0.48399532)","(0.5507971, 0.5623982, 0.6694278)","(0.5555198, 0.47010863, 0.65553814)","(0.77623117, 0.5532154, 0.5954889)","(0.77132696, 0.36760324, 0.67720056)","(0.9454216, 0.53293294, 0.76064587)","(0.94683063, 0.40169436, 0.6616413)","(0.26428623497486115, 0.5146759152412415, 0.3001069873571396)",0.05607162415981293,"(0.3280819356441498, 0.5042106509208679, 0.45529475808143616)",0.11714617834242866
10,"(0.23418495, 0.49045092, 0.34886152)","(0.21243845, 0.5033888, 0.34673485)","(0.2136882, 0.49058875, 0.3081665)","(0.22886482, 0.53763413, 0.41182595)","(0.22334129, 0.5000354, 0.26932597)","(0.3303299, 0.58063984, 0.42670053)","(0.30942985, 0.46828932, 0.3727923)","(0.4833064, 0.60183215, 0.5076675)","(0.45333013, 0.43501243, 0.37524617)","(0.6407583, 0.6500217, 0.4445984)","(0.58980155, 0.44475412, 0.5196989)","(0.55038804, 0.5526952, 0.6851007)","(0.5518117, 0.46891972, 0.6084389)","(0.7890932, 0.55316734, 0.5957639)","(0.7785826, 0.3643683, 0.6519949)","(0.95731115, 0.53757346, 0.58904374)","(0.9589585, 0.39957625, 0.74457186)","(0.2261030524969101, 0.5188347697257996, 0.3405759632587433)",0.03800228610634804,"(0.29131489992141724, 0.5131266911824545, 0.38278478384017944)",0.12293122905802151
11,"(0.2590116, 0.5123192, 0.3908382)","(0.23966512, 0.5246812, 0.39929098)","(0.2397388, 0.51189697, 0.34390932)","(0.25885552, 0.5592882, 0.42695394)","(0.24928299, 0.5194116, 0.3129959)","(0.35365695, 0.5869101, 0.51503044)","(0.3341206, 0.47420558, 0.48455077)","(0.49885973, 0.60873777, 0.53139126)","(0.47004753, 0.42767677, 0.5854091)","(0.6419485, 0.6490682, 0.5550578)","(0.5951595, 0.4428994, 0.48596054)","(0.55356383, 0.54532474, 0.6581252)","(0.5533447, 0.46488297, 0.6051222)","(0.79477304, 0.5463257, 0.5591572)","(0.7845714, 0.3687657, 0.72267663)","(0.958442, 0.5344994, 0.78275406)","(0.9614801, 0.40022278, 0.75129724)","(0.2540692538022995, 0.5393499135971069, 0.36997492611408234)",0.04100945219397545,"(0.31559638182322186, 0.5244783063729604, 0.4634731411933899)",0.1157528682949509
12,"(0.28928304, 0.50346243, 0.36517185)","(0.26677814, 0.51600814, 0.40981382)","(0.2678477, 0.5014974, 0.31196994)","(0.27133816, 0.5443336, 0.4340037)","(0.26812127, 0.50488347, 0.30403185)","(0.3637966, 0.5819754, 0.5720049)","(0.3512481, 0.4566666, 0.50169295)","(0.49274632, 0.5952983, 0.4808274)","(0.47610888, 0.4229924, 0.66321975)","(0.6420911, 0.6466038, 0.65479136)","(0.6046995, 0.43037176, 0.49404863)","(0.5721118, 0.5586276, 0.74863786)","(0.57278174, 0.4712381, 0.7043428)","(0.8011012, 0.54097223, 0.61024016)","(0.79312104, 0.36322555, 0.62023693)","(0.95980734, 0.53645134, 0.7660043)","(0.9665713, 0.39972413, 0.7460182)","(0.26972971856594086, 0.5246085226535797, 0.3690177798271179)",0.039581049233675,"(0.3347759048144023, 0.5140348076820374, 0.4796232382456462)",0.09341040829093546
13,"(0.2738249, 0.4955605, 0.28147477)","(0.24614441, 0.49917823, 0.43884227)","(0.26442146, 0.49875647, 0.24674067)","(0.24568427, 0.519449, 0.46456254)","(0.2580303, 0.52468365, 0.19813478)","(0.30008012, 0.5106339, 0.26138186)","(0.34965682, 0.5825886, 0.28429592)","(0.46277338, 0.41994172, 0.38747263)","(0.49673963, 0.59443384, 0.51657367)","(0.6057378, 0.44164085, 0.26471353)","(0.6506369, 0.65006065, 0.540783)","(0.550302, 0.48998854, 0.46671498)","(0.5619761, 0.5356733, 0.44332013)","(0.7988543, 0.3665648, 0.6179862)","(0.79301524, 0.35999185, 0.47679007)","(0.95909786, 0.52575505, 0.5573596)","(0.9712864, 0.40083537, 0.5000596)","(0.25185728073120117, 0.5220663249492645, 0.3313486576080322)",0.013409925624728203,"(0.30785394708315533, 0.5295943319797516, 0.27571751674016315)",0.09625545053165455
