,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.26737332, 0.4824444, 0.49525926)","(0.25634974, 0.49449867, 0.543721)","(0.25758705, 0.46885931, 0.5446251)","(0.2649365, 0.5079377, 0.65111065)","(0.2707274, 0.45162234, 0.5568499)","(0.33384007, 0.5376749, 0.50059825)","(0.3318066, 0.424234, 0.61128414)","(0.42469108, 0.53797674, 0.45993245)","(0.42499614, 0.41975474, 0.44714218)","(0.5087199, 0.5411881, 0.3506341)","(0.5125375, 0.42148122, 0.26545554)","(0.49921745, 0.5156623, 0.5958314)","(0.5044038, 0.45380577, 0.58307743)","(0.646111, 0.5079447, 0.61382157)","(0.64222777, 0.4600805, 0.48586628)","(0.75336266, 0.509617, 0.44939238)","(0.74765015, 0.46051764, 0.39719492)","(0.267831951379776, 0.47978003323078156, 0.6039802730083466)",0.056612346321344376,"(0.31100666522979736, 0.4814511040846507, 0.5357138812541962)",0.08728929289459425
1,"(0.26284507, 0.4807975, 0.51797694)","(0.252493, 0.49331972, 0.4619738)","(0.2530325, 0.46933192, 0.43934718)","(0.26480454, 0.5077919, 0.6982894)","(0.26627958, 0.45189732, 0.6621941)","(0.33161163, 0.5389948, 0.5914751)","(0.33083266, 0.4209677, 0.6285695)","(0.42606628, 0.53789485, 0.49362507)","(0.42165804, 0.41998062, 0.5299534)","(0.5073483, 0.5424569, 0.39576676)","(0.51161075, 0.4240288, 0.30805162)","(0.49716306, 0.5170275, 0.62504864)","(0.5036011, 0.4524177, 0.60853267)","(0.64506006, 0.5089051, 0.6493714)","(0.64092565, 0.46305275, 0.5805373)","(0.7567301, 0.50960493, 0.45239443)","(0.7545063, 0.46314466, 0.47043628)","(0.26554206013679504, 0.4798445999622345, 0.680241733789444)",0.0559140145778656,"(0.3084297875563304, 0.48025332887967426, 0.5793405175209045)",0.09117593261242306
2,"(0.26420763, 0.48133886, 0.5101545)","(0.25374156, 0.49402982, 0.4859235)","(0.25378788, 0.47075745, 0.48550257)","(0.26539573, 0.5078324, 0.6672148)","(0.26603892, 0.45406303, 0.6484114)","(0.33274946, 0.5370579, 0.6327083)","(0.3285993, 0.42043585, 0.66147196)","(0.42320856, 0.5386045, 0.56055325)","(0.42229062, 0.41927132, 0.55168015)","(0.50011027, 0.54208976, 0.36238748)","(0.5129552, 0.41468447, 0.49033475)","(0.50004834, 0.5151819, 0.62549573)","(0.505341, 0.45154387, 0.5994041)","(0.6452453, 0.5109877, 0.69483995)","(0.64414644, 0.46261466, 0.5903813)","(0.76192, 0.5129285, 0.48556575)","(0.76295686, 0.45887798, 0.45126477)","(0.2657173275947571, 0.48094771802425385, 0.6578131020069122)",0.05377322435379028,"(0.30851879715919495, 0.4796108603477478, 0.6014449199040731)",0.08868969260029584
3,"(0.26986665, 0.48495647, 0.49992353)","(0.25908422, 0.4986962, 0.4852007)","(0.25816375, 0.4723599, 0.5011764)","(0.2700599, 0.5121935, 0.60874826)","(0.2708104, 0.45575485, 0.52760905)","(0.33352062, 0.5374785, 0.5963678)","(0.33023548, 0.4239373, 0.62761843)","(0.42249572, 0.5378017, 0.5661949)","(0.4193395, 0.42060685, 0.54778594)","(0.5004715, 0.542341, 0.3603971)","(0.51204634, 0.41830692, 0.41082695)","(0.49832648, 0.5174211, 0.6473235)","(0.5038518, 0.4559314, 0.664837)","(0.64788413, 0.51064247, 0.6757205)","(0.6466391, 0.46429056, 0.57342744)","(0.7562593, 0.5123102, 0.44672653)","(0.7599715, 0.4580348, 0.43081942)","(0.2704351544380188, 0.4839741736650467, 0.568178653717041)",0.05644364655017853,"(0.3112075825532277, 0.48212409019470215, 0.5746365785598755)",0.08287570169783354
4,"(0.2684943, 0.48947906, 0.534124)","(0.25638685, 0.5013621, 0.5338451)","(0.256966, 0.47646278, 0.3647923)","(0.26752293, 0.5160371, 0.60555637)","(0.2668653, 0.45863372, 0.4918556)","(0.33382493, 0.5379957, 0.55669343)","(0.32694116, 0.4244867, 0.6513281)","(0.4228422, 0.53991854, 0.5760641)","(0.4235044, 0.42372203, 0.61975485)","(0.50494665, 0.54225636, 0.3639347)","(0.51526475, 0.41961205, 0.39112207)","(0.5067228, 0.51915497, 0.75437164)","(0.511713, 0.45612627, 0.6928031)","(0.6489991, 0.51342714, 0.6142935)","(0.64720714, 0.46060222, 0.5196528)","(0.7532732, 0.5124736, 0.45272294)","(0.7543298, 0.4588465, 0.43843502)","(0.26719412207603455, 0.4873354136943817, 0.548705980181694)",0.05740715190768242,"(0.3097534676392873, 0.48398715257644653, 0.5807151794433594)",0.0832461255792767
5,"(0.2692038, 0.48680764, 0.51117647)","(0.2577985, 0.50068414, 0.506784)","(0.25701624, 0.47467488, 0.4606632)","(0.26970172, 0.51433945, 0.5885772)","(0.26950923, 0.45735723, 0.37060127)","(0.33471593, 0.5383805, 0.56801987)","(0.33065677, 0.42758638, 0.63529104)","(0.42466664, 0.53742135, 0.5609185)","(0.42235693, 0.42598745, 0.62678707)","(0.5067985, 0.54279757, 0.39861026)","(0.5118729, 0.4311158, 0.28730696)","(0.49969393, 0.5187813, 0.6987518)","(0.50384355, 0.45755643, 0.6706314)","(0.6438115, 0.5145436, 0.6243749)","(0.6397299, 0.46433577, 0.5258878)","(0.75205004, 0.51335514, 0.474275)","(0.75070107, 0.45712405, 0.41168174)","(0.26960547268390656, 0.4858483374118805, 0.47958923876285553)",0.05698254331946373,"(0.31152550379435223, 0.48425817489624023, 0.571495791276296)",0.08479682542983438
6,"(0.26859525, 0.489488, 0.5682509)","(0.25562203, 0.5012511, 0.5103368)","(0.25729668, 0.47699326, 0.41912538)","(0.26855117, 0.51775175, 0.56980944)","(0.27073434, 0.45934865, 0.42378667)","(0.33507597, 0.54039496, 0.59678197)","(0.32947117, 0.42863783, 0.60244846)","(0.4226347, 0.5374906, 0.5524372)","(0.42153466, 0.43103826, 0.564516)","(0.50551015, 0.54517174, 0.38454106)","(0.5119649, 0.4336331, 0.32853043)","(0.4980411, 0.5210564, 0.6867777)","(0.50254506, 0.4603864, 0.7065702)","(0.641598, 0.51613796, 0.59788156)","(0.63911325, 0.46450922, 0.54039407)","(0.75014466, 0.5146716, 0.4610006)","(0.74539775, 0.4588337, 0.42472166)","(0.26964275538921356, 0.48855020105838776, 0.4967980533838272)",0.05844389647245407,"(0.3110474646091461, 0.4861735999584198, 0.5891604423522949)",0.08516280739661232
7,"(0.26296937, 0.4906329, 0.6714373)","(0.25139493, 0.5022544, 0.44593465)","(0.25132996, 0.47716498, 0.46414417)","(0.26598406, 0.5198091, 0.5292331)","(0.26793724, 0.4612947, 0.54729676)","(0.33369255, 0.5420719, 0.6208427)","(0.32857627, 0.43187696, 0.5040813)","(0.42232367, 0.543018, 0.57110715)","(0.42058527, 0.42965657, 0.5950083)","(0.5040847, 0.543676, 0.35571393)","(0.51135635, 0.43549928, 0.32979882)","(0.49865067, 0.51916516, 0.67615217)","(0.5022124, 0.45741057, 0.66921985)","(0.63779604, 0.5159668, 0.62337583)","(0.6329049, 0.46494442, 0.5187517)","(0.745574, 0.5137098, 0.49765605)","(0.7442379, 0.45589912, 0.3791248)","(0.26696065068244934, 0.4905519187450409, 0.5382649302482605)",0.0585470050573349,"(0.30841273069381714, 0.48819390932718915, 0.5987871090571085)",0.09101752013131269
8,"(0.26054257, 0.48956633, 0.64657634)","(0.24742407, 0.5014334, 0.53756595)","(0.24864483, 0.47636205, 0.4984477)","(0.26437822, 0.51956636, 0.51903063)","(0.26605815, 0.461791, 0.5829792)","(0.32931408, 0.54206663, 0.7097203)","(0.32704377, 0.43238232, 0.5448581)","(0.42189777, 0.54495275, 0.58037114)","(0.42288372, 0.43182826, 0.6005391)","(0.5005051, 0.5448257, 0.36562908)","(0.5115273, 0.43977508, 0.3094645)","(0.49538696, 0.52320313, 0.784763)","(0.5005913, 0.4560926, 0.64167535)","(0.63530266, 0.5175096, 0.58498406)","(0.6322512, 0.46236986, 0.5280984)","(0.74433035, 0.5147295, 0.49509904)","(0.7418849, 0.45518538, 0.3793835)","(0.26521818339824677, 0.49067868292331696, 0.5510049164295197)",0.05779976770281792,"(0.30563347538312274, 0.48800509174664813, 0.6337182521820068)",0.09023584790549419
9,"(0.26286954, 0.48930126, 0.6602865)","(0.24863851, 0.50157905, 0.54310536)","(0.2526333, 0.4757923, 0.35312405)","(0.26508725, 0.5209062, 0.5123733)","(0.267479, 0.46193105, 0.5618282)","(0.33190078, 0.5451522, 0.703936)","(0.32688445, 0.43273115, 0.521666)","(0.42551488, 0.5465555, 0.58672714)","(0.4230233, 0.42991155, 0.6095108)","(0.49974236, 0.5449405, 0.34996748)","(0.5112824, 0.43864745, 0.28931278)","(0.49713725, 0.5219018, 0.76198876)","(0.501069, 0.45305452, 0.5853174)","(0.6389994, 0.51627713, 0.6433206)","(0.63364387, 0.46479842, 0.5268381)","(0.74746406, 0.515322, 0.49854752)","(0.74639267, 0.45642573, 0.42911142)","(0.2662831246852875, 0.49141862988471985, 0.53710076212883)",0.05902363732457161,"(0.3072182536125183, 0.48906153440475464, 0.6286294857660929)",0.08869872933772485
