,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.35683042, 0.49011526, 0.36938033)","(0.34407076, 0.4820544, 0.46891075)","(0.34640667, 0.48815307, 0.42891055)","(0.3495556, 0.47428852, 0.43415236)","(0.35549375, 0.48823318, 0.5269895)","(0.40629157, 0.4838378, 0.35444385)","(0.41096163, 0.5011038, 0.43980148)","(0.4427986, 0.32227716, 0.40048748)","(0.5314055, 0.57604915, 0.50632346)","(0.39748895, 0.44160277, 0.22707272)","(0.6302954, 0.57497066, 0.5159858)","(0.61776346, 0.48242137, 0.59228075)","(0.6203979, 0.4885441, 0.5974318)","(0.79600155, 0.5190265, 0.5207032)","(0.7970488, 0.48569936, 0.31183356)","(0.9512202, 0.5223902, 0.36444306)","(0.9398951, 0.5048257, 0.5324316)","(0.35252468287944794, 0.48126085102558136, 0.4805709421634674)",0.01515635009855032,"(0.39136120676994324, 0.4916856288909912, 0.38787521918614704)",0.06913295709786269
1,"(0.35704157, 0.4899237, 0.372649)","(0.34426552, 0.48226696, 0.47671503)","(0.34660792, 0.48749083, 0.43299997)","(0.3498219, 0.47516108, 0.44840088)","(0.35575926, 0.48728883, 0.51613224)","(0.4063029, 0.48599112, 0.35619384)","(0.41042244, 0.498749, 0.4155581)","(0.52593577, 0.5711962, 0.30505466)","(0.53112876, 0.57571054, 0.48222712)","(0.3973077, 0.4422469, 0.22284225)","(0.62988025, 0.57464427, 0.50490767)","(0.6175793, 0.4834499, 0.59579086)","(0.6200077, 0.48771983, 0.6001568)","(0.7968552, 0.51988655, 0.5029927)","(0.7905571, 0.4471429, 0.5421641)","(0.95222235, 0.5230911, 0.3589037)","(0.9199359, 0.46953976, 0.43100142)","(0.35279057919979095, 0.4812249541282654, 0.4822665601968765)",0.013503141701221466,"(0.39125563700993854, 0.49155459801356, 0.38146698474884033)",0.06850583691145286
2,"(0.3601603, 0.4731835, 0.45335385)","(0.34819973, 0.4565701, 0.46676666)","(0.3494107, 0.48224825, 0.46265274)","(0.3549045, 0.4435374, 0.4485678)","(0.35853505, 0.5006554, 0.42644623)","(0.41081557, 0.41021785, 0.5717523)","(0.42285115, 0.5496867, 0.6431843)","(0.45391542, 0.31964624, 0.66482913)","(0.5345638, 0.57684004, 0.64707685)","(0.40874964, 0.41986033, 0.35258767)","(0.6347517, 0.56449634, 0.56461644)","(0.6315774, 0.4368596, 0.53766793)","(0.6348113, 0.5233922, 0.6566508)","(0.7910638, 0.42574367, 0.5236986)","(0.8078572, 0.53255546, 0.6213595)","(0.9190701, 0.45247945, 0.6530145)","(0.9616596, 0.5370158, 0.6137776)","(0.3567197769880295, 0.47209641337394714, 0.4375070184469223)",0.05723326653242111,"(0.39794233441352844, 0.4776960114638011, 0.5560968220233917)",0.07610112837475097
3,"(0.36022386, 0.46577653, 0.49703884)","(0.34943327, 0.45193622, 0.52136385)","(0.34972557, 0.47705373, 0.49287388)","(0.35733423, 0.43656346, 0.3991935)","(0.35966024, 0.4974262, 0.3764283)","(0.40690848, 0.4053713, 0.62635016)","(0.4184049, 0.54525733, 0.62045085)","(0.45936525, 0.3162577, 0.68217486)","(0.5410232, 0.56693304, 0.6149021)","(0.42143887, 0.41570967, 0.36067033)","(0.64101946, 0.57204413, 0.5283265)","(0.6144587, 0.42659712, 0.61218625)","(0.6227721, 0.5102435, 0.6233335)","(0.79084146, 0.4366822, 0.59448296)","(0.8016201, 0.5147032, 0.51386446)","(0.9213381, 0.46605575, 0.47860852)","(0.9515199, 0.5231705, 0.5204348)","(0.3584972321987152, 0.46699483692646027, 0.3878109008073807)",0.06090718135237694,"(0.39517908294995624, 0.4721350570519765, 0.5812799533208212)",0.07105768002347211
4,"(0.36968637, 0.47095585, 0.4410051)","(0.3578703, 0.45461464, 0.35960317)","(0.36203715, 0.48106286, 0.39907265)","(0.36729878, 0.43927893, 0.4894974)","(0.3702167, 0.50017095, 0.45558694)","(0.41229266, 0.40669617, 0.61003566)","(0.42318308, 0.54105616, 0.6206134)","(0.4602574, 0.31746075, 0.6616481)","(0.5404123, 0.5582905, 0.5289757)","(0.41474864, 0.4098643, 0.38399866)","(0.64665705, 0.5530414, 0.5398629)","(0.617465, 0.42591816, 0.6041571)","(0.6230746, 0.5072304, 0.60483295)","(0.79490507, 0.43192583, 0.48558208)","(0.80140066, 0.51886994, 0.61875284)","(0.91890454, 0.46085244, 0.63834906)","(0.9501826, 0.52991295, 0.5476357)","(0.3687577396631241, 0.46972493827342987, 0.4725421667098999)",0.06096188724040985,"(0.40172070264816284, 0.4729027251402537, 0.557218054930369)",0.0641868867692226
5,"(0.37597638, 0.45854056, 0.42442942)","(0.3648909, 0.44269726, 0.34315276)","(0.3666788, 0.46619403, 0.47435373)","(0.3712121, 0.43562958, 0.46579292)","(0.3723246, 0.49037158, 0.5665588)","(0.41282147, 0.4134912, 0.61474574)","(0.4252358, 0.5403844, 0.670157)","(0.46408337, 0.32144988, 0.74972475)","(0.5372622, 0.55467147, 0.67429984)","(0.4155011, 0.40897876, 0.3487601)","(0.62852883, 0.5373966, 0.31835246)","(0.6159562, 0.42749572, 0.63014317)","(0.6174162, 0.5046646, 0.701421)","(0.79239315, 0.42697284, 0.48861912)","(0.8025326, 0.5207866, 0.69271713)","(0.925015, 0.46014437, 0.56016105)","(0.9660864, 0.53945637, 0.63195384)","(0.3717683404684067, 0.4630005806684494, 0.516175851225853)",0.05475331470370293,"(0.4046778877576192, 0.47080538670221966, 0.5697773893674215)",0.06242442916270729
6,"(0.37722525, 0.46778047, 0.43277454)","(0.36690232, 0.4525823, 0.4199919)","(0.36986762, 0.47768992, 0.44765028)","(0.3747309, 0.43979555, 0.51203656)","(0.3763132, 0.49530488, 0.51844466)","(0.41011068, 0.4084736, 0.4741325)","(0.42827725, 0.5416088, 0.6551531)","(0.47117195, 0.32051826, 0.7444663)","(0.53741944, 0.5522439, 0.6133102)","(0.42851955, 0.40991265, 0.4364453)","(0.61510813, 0.52049214, 0.39518303)","(0.60963833, 0.4214772, 0.56363606)","(0.61330676, 0.50015116, 0.6410066)","(0.7863082, 0.43197364, 0.51029366)","(0.7930569, 0.5169245, 0.6525643)","(0.9219146, 0.46654046, 0.48484275)","(0.9529235, 0.531816, 0.5368136)","(0.37552206218242645, 0.46755021810531616, 0.5152406096458435)",0.05553187429904938,"(0.4052043954531352, 0.47262096405029297, 0.5206867158412933)",0.056789539684985506
7,"(0.3808409, 0.4675948, 0.4112124)","(0.36975193, 0.46775287, 0.49210224)","(0.37166876, 0.4613561, 0.43887624)","(0.37464166, 0.4737557, 0.40476286)","(0.3758092, 0.45984372, 0.42700508)","(0.41803122, 0.5171621, 0.4836954)","(0.40745378, 0.44072437, 0.4979547)","(0.53054225, 0.5438627, 0.49437374)","(0.4746339, 0.3230353, 0.5617197)","(0.6163678, 0.5305917, 0.459326)","(0.41986394, 0.41369697, 0.44298786)","(0.60502756, 0.487727, 0.6390827)","(0.6114962, 0.42619535, 0.5759405)","(0.79826283, 0.514198, 0.62979305)","(0.7945613, 0.42868042, 0.64053726)","(0.94435704, 0.53621215, 0.62179154)","(0.9172412, 0.45491147, 0.71161246)","(0.3752254247665405, 0.46679970622062683, 0.41588397324085236)",0.013960868120193481,"(0.402108629544576, 0.4751604199409485, 0.46428749958674115)",0.04514664961421298
8,"(0.3967831, 0.4650105, 0.4639562)","(0.381889, 0.473193, 0.45354614)","(0.3859627, 0.4532565, 0.3724708)","(0.37976226, 0.48710757, 0.58325565)","(0.38456887, 0.43746862, 0.49397188)","(0.42006022, 0.5221555, 0.6380675)","(0.4091204, 0.39996025, 0.4330172)","(0.5340254, 0.53905314, 0.65625185)","(0.48446506, 0.32454267, 0.72162473)","(0.6259658, 0.530816, 0.52244556)","(0.42410883, 0.39786386, 0.5953778)","(0.60941124, 0.49359712, 0.6766036)","(0.61315155, 0.41806072, 0.63755906)","(0.7952136, 0.5159762, 0.65369445)","(0.7956082, 0.43141502, 0.6495004)","(0.94608986, 0.5452591, 0.6292716)","(0.9175291, 0.4584596, 0.6988168)","(0.3821655660867691, 0.46228809654712677, 0.5386137664318085)",0.04987112805247307,"(0.4086545805136363, 0.46237542231877643, 0.5116802950700124)",0.024320800338160593
9,"(0.37773678, 0.45775384, 0.41203934)","(0.36650085, 0.47074232, 0.46984413)","(0.3673705, 0.4472624, 0.51474273)","(0.3726129, 0.48613125, 0.5517904)","(0.37267053, 0.43033037, 0.58586925)","(0.4223042, 0.52466387, 0.71392906)","(0.41017574, 0.39075977, 0.46247226)","(0.5262373, 0.5335813, 0.5414604)","(0.4975371, 0.32199508, 0.686144)","(0.58865535, 0.5263101, 0.29181334)","(0.4359557, 0.3990322, 0.5659194)","(0.59837675, 0.49329102, 0.733612)","(0.60339826, 0.41392526, 0.6549486)","(0.79388726, 0.51757526, 0.679484)","(0.7930018, 0.43221605, 0.7067386)","(0.9506782, 0.5475046, 0.84203076)","(0.91446996, 0.45533246, 0.7519448)","(0.3726417124271393, 0.45823080837726593, 0.5688298344612122)",0.0558009147644043,"(0.4034055769443512, 0.4577258229255676, 0.5294802188873291)",0.05133763032819054
