,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.3403914, 0.5106458, 0.44546577)","(0.32444468, 0.521983, 0.49701145)","(0.3257598, 0.502669, 0.50973934)","(0.33808467, 0.5437752, 0.60046273)","(0.33960387, 0.4923756, 0.60828227)","(0.40240145, 0.58078146, 0.7505154)","(0.40511808, 0.47947854, 0.6441884)","(0.49394974, 0.5907724, 0.51716644)","(0.47612438, 0.45534772, 0.29088515)","(0.49298355, 0.5625299, 0.2965698)","(0.42224795, 0.45157313, 0.2516278)","(0.5596372, 0.5546842, 0.61743844)","(0.556707, 0.49346298, 0.63774925)","(0.7266588, 0.5414004, 0.7270805)","(0.73580456, 0.49191052, 0.6435943)","(0.8604507, 0.57691884, 0.66261595)","(0.87496156, 0.5207286, 0.59976774)","(0.33884426951408386, 0.5180754065513611, 0.604372501373291)",0.051422037184238434,"(0.38263697425524396, 0.5236352682113647, 0.6133898595968882)",0.08839490631087674
1,"(0.34215507, 0.5123789, 0.5041175)","(0.32659552, 0.5238589, 0.5679313)","(0.3292822, 0.49879342, 0.5027663)","(0.34334955, 0.54446757, 0.7079028)","(0.34448272, 0.48902702, 0.762285)","(0.40844786, 0.5748997, 0.76868117)","(0.41040787, 0.47254926, 0.71889365)","(0.5067259, 0.59254926, 0.54997283)","(0.48909068, 0.47132418, 0.31062752)","(0.4903029, 0.566702, 0.20732152)","(0.44285697, 0.46302757, 0.24864724)","(0.5641537, 0.55552936, 0.66405433)","(0.5667555, 0.4892288, 0.73522556)","(0.7329247, 0.53670233, 0.5470274)","(0.74371666, 0.47595608, 0.7454247)","(0.86252296, 0.5757278, 0.83588314)","(0.87498397, 0.51985395, 0.5827534)","(0.3439161330461502, 0.5167472958564758, 0.735093891620636)",0.0554521270096302,"(0.3870036005973816, 0.5199426015218099, 0.663897434870402)",0.09096374638420644
2,"(0.3501835, 0.5032859, 0.5215813)","(0.3396871, 0.51419663, 0.49425074)","(0.34110904, 0.49295136, 0.6239148)","(0.3507898, 0.5381447, 0.53613424)","(0.35017583, 0.48751172, 0.7281326)","(0.41343033, 0.5705445, 0.7387845)","(0.41554734, 0.46617123, 0.6305002)","(0.5096446, 0.5971769, 0.55007255)","(0.5188545, 0.46326703, 0.3127584)","(0.4947996, 0.5529921, 0.24221006)","(0.49436185, 0.4696587, 0.34683233)","(0.58026975, 0.5516524, 0.7105334)","(0.57903445, 0.48684698, 0.71703076)","(0.7505717, 0.5258077, 0.7245364)","(0.7564826, 0.46849844, 0.6165753)","(0.8666812, 0.5736493, 0.81929094)","(0.8764927, 0.5215015, 0.54435396)","(0.3504828065633774, 0.5128282159566879, 0.632133424282074)",0.05063670501112938,"(0.3930537203947703, 0.5133338669935862, 0.6302886605262756)",0.08806404173351827
3,"(0.34977734, 0.5099829, 0.5566966)","(0.33939826, 0.5211933, 0.43070793)","(0.34050176, 0.49899125, 0.48667508)","(0.3526883, 0.538503, 0.42673045)","(0.35587633, 0.48397493, 0.5538386)","(0.4103657, 0.5662747, 0.74896497)","(0.4184584, 0.4634778, 0.66168463)","(0.50246894, 0.6032064, 0.49519005)","(0.51492447, 0.45357358, 0.3404284)","(0.47183546, 0.62472963, 0.33320242)","(0.47404665, 0.4545153, 0.26228642)","(0.5766338, 0.54690975, 0.76132774)","(0.57847583, 0.48776954, 0.74714327)","(0.7490036, 0.52311856, 0.6890582)","(0.75657094, 0.4660747, 0.67521024)","(0.8627237, 0.5731611, 0.7078535)","(0.87358016, 0.52098197, 0.6091977)","(0.35428231954574585, 0.5112389624118805, 0.4902845323085785)",0.054621171206235886,"(0.39286714792251587, 0.5132451256116232, 0.6557820638020834)",0.08642623886240995
4,"(0.3417357, 0.51147354, 0.46797046)","(0.33024535, 0.524014, 0.5177188)","(0.3312797, 0.49891517, 0.5238541)","(0.34648597, 0.54117435, 0.68030035)","(0.34850654, 0.4874003, 0.80474424)","(0.40058848, 0.56890136, 0.80573934)","(0.41560578, 0.4612971, 0.76797676)","(0.4878969, 0.6141551, 0.6272331)","(0.50509876, 0.43943557, 0.57277054)","(0.4408881, 0.6813717, 0.6981051)","(0.45803624, 0.3978088, 0.6247576)","(0.55221653, 0.5453609, 0.7887337)","(0.5554889, 0.48826036, 0.7858951)","(0.74036, 0.51517355, 0.7406745)","(0.7449163, 0.45957303, 0.78157043)","(0.86410826, 0.5794499, 0.85682046)","(0.8727717, 0.5227549, 0.56567746)","(0.34749625623226166, 0.5142873227596283, 0.7425222992897034)",0.05381200835108757,"(0.3859766523043315, 0.5138906637827555, 0.6805621882279714)",0.08861388551071997
5,"(0.329035, 0.5074867, 0.45940167)","(0.3194128, 0.5196094, 0.45270663)","(0.31938326, 0.49782497, 0.6052691)","(0.3312247, 0.5381253, 0.55120814)","(0.33505863, 0.4887166, 0.5602713)","(0.38682124, 0.57232815, 0.8346044)","(0.4038118, 0.46745753, 0.7945366)","(0.47135597, 0.6184422, 0.6637045)","(0.48777065, 0.43393266, 0.74666077)","(0.41643673, 0.6811614, 0.71264017)","(0.43531382, 0.4020676, 0.48359334)","(0.548333, 0.5482956, 0.8104435)","(0.5491297, 0.4869287, 0.80418706)","(0.73295414, 0.5132717, 0.64540696)","(0.7354438, 0.46824884, 0.69718736)","(0.8599128, 0.5768395, 0.845034)","(0.87192625, 0.5176488, 0.6364925)","(0.33314166963100433, 0.5134209394454956, 0.5557397305965424)",0.04955719783902168,"(0.3732226888338725, 0.5157574613889059, 0.6961808800697327)",0.08991009046892608
6,"(0.31244305, 0.50312376, 0.36086398)","(0.3007372, 0.5183612, 0.45082018)","(0.3015828, 0.49831852, 0.6024223)","(0.31401825, 0.5397934, 0.5312486)","(0.31573322, 0.49360725, 0.66244936)","(0.36978513, 0.57138616, 0.7364309)","(0.3909878, 0.47963583, 0.7250987)","(0.46061683, 0.62041783, 0.61409146)","(0.46932238, 0.4297415, 0.7360903)","(0.3996312, 0.6817491, 0.6666111)","(0.4108964, 0.40456852, 0.49374446)","(0.5307354, 0.5488488, 0.8194853)","(0.529275, 0.4878624, 0.81379473)","(0.71582025, 0.5167849, 0.74206614)","(0.7217704, 0.46865028, 0.8256582)","(0.85121197, 0.5719357, 0.8092768)","(0.87226623, 0.515953, 0.68660146)","(0.3148757368326187, 0.5167003124952316, 0.5968489944934845)",0.04621794819831848,"(0.3577386637528737, 0.5180485844612122, 0.6074645320574442)",0.09538224586431433
7,"(0.30137503, 0.5124341, 0.5303336)","(0.2879893, 0.52352774, 0.5546689)","(0.29095864, 0.4993891, 0.35687566)","(0.30171835, 0.54005504, 0.6746956)","(0.30332693, 0.48947954, 0.8322113)","(0.35340166, 0.56451344, 0.7102426)","(0.37905762, 0.47696465, 0.6730381)","(0.44549593, 0.61460245, 0.6155498)","(0.45012283, 0.41660744, 0.69928503)","(0.3973018, 0.6697805, 0.55462)","(0.38163078, 0.3980107, 0.42949942)","(0.5108028, 0.54708266, 0.8286015)","(0.5112805, 0.48696506, 0.8067956)","(0.6956862, 0.5093231, 0.61028516)","(0.7025458, 0.47379836, 0.8378537)","(0.84197944, 0.57044554, 0.74940443)","(0.87124527, 0.5154492, 0.64972067)","(0.3025226444005966, 0.5147672891616821, 0.7534534633159637)",0.05060106888413429,"(0.34461143612861633, 0.5179707407951355, 0.6378714442253113)",0.0871789149450631
8,"(0.2948731, 0.5158211, 0.4005732)","(0.28072846, 0.52946895, 0.70408165)","(0.28087366, 0.50321555, 0.61830664)","(0.28913277, 0.5436, 0.55592394)","(0.29211223, 0.48976064, 0.5919407)","(0.35086828, 0.56774825, 0.75177675)","(0.36248195, 0.47152793, 0.721758)","(0.43693554, 0.61563015, 0.62995464)","(0.430462, 0.4145584, 0.6860569)","(0.3871205, 0.6760029, 0.5772108)","(0.35099202, 0.4029673, 0.5291434)","(0.5035813, 0.5469821, 0.8161528)","(0.50465274, 0.4840889, 0.80044186)","(0.6781405, 0.51657116, 0.86113214)","(0.69041824, 0.47547883, 0.71028847)","(0.8273369, 0.5681582, 0.79479915)","(0.8678961, 0.50938797, 0.566735)","(0.2906225025653839, 0.5166803300380707, 0.5739323198795319)",0.053921762853860855,"(0.33607444167137146, 0.518365760644277, 0.6247026522954305)",0.08255971890717836
9,"(0.2887748, 0.5174563, 0.47553092)","(0.27613539, 0.5291514, 0.5762615)","(0.27548042, 0.5037571, 0.51936424)","(0.28753003, 0.5437788, 0.7281122)","(0.28464293, 0.49018928, 0.80234075)","(0.34733126, 0.55914867, 0.70051426)","(0.35083672, 0.47336167, 0.73330694)","(0.42497095, 0.6124033, 0.6046897)","(0.41560936, 0.411957, 0.6434459)","(0.38593936, 0.67237127, 0.6113303)","(0.33693907, 0.40847385, 0.43470907)","(0.49914655, 0.5445724, 0.8125437)","(0.5010164, 0.4842543, 0.81105685)","(0.66800106, 0.50266886, 0.80550426)","(0.6776103, 0.4685366, 0.7952127)","(0.82013243, 0.56163627, 0.6586744)","(0.8479837, 0.51231563, 0.49417198)","(0.2860864847898483, 0.5169840306043625, 0.7652264833450317)",0.053667206317186356,"(0.3289809226989746, 0.5166555444399515, 0.6364507079124451)",0.08042821483356034
