,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.28696388, 0.5575165, 0.2768999)","(0.28082284, 0.56363964, 0.49883762)","(0.27548173, 0.54819137, 0.5386053)","(0.2892405, 0.56357896, 0.46889228)","(0.27604324, 0.51969236, 0.5931779)","(0.35051328, 0.57911104, 0.5603474)","(0.3368387, 0.4568629, 0.6384113)","(0.45463377, 0.5727453, 0.5033961)","(0.43440276, 0.42067397, 0.6637318)","(0.50753987, 0.5558611, 0.37533486)","(0.5368166, 0.423463, 0.5874645)","(0.52411044, 0.5361045, 0.73246825)","(0.5180468, 0.46978635, 0.73358655)","(0.6831379, 0.54041195, 0.6261833)","(0.67727077, 0.47777066, 0.6249929)","(0.81749415, 0.534807, 0.6765761)","(0.79357326, 0.4671826, 0.46137014)","(0.28264187276363373, 0.541635662317276, 0.5310350954532623)",0.0458279587328434,"(0.3247719506422679, 0.5311634838581085, 0.4918861885865529)",0.09217228357372743
1,"(0.2855073, 0.551188, 0.3923741)","(0.27742574, 0.5612273, 0.4350359)","(0.27079457, 0.54272723, 0.45034218)","(0.28753084, 0.5656435, 0.5663739)","(0.27197042, 0.51809484, 0.60342336)","(0.35042512, 0.5783121, 0.6645942)","(0.33470583, 0.45406336, 0.60004115)","(0.45597857, 0.5719506, 0.52729744)","(0.43819115, 0.4223165, 0.6842863)","(0.5112848, 0.55912894, 0.39654276)","(0.5444952, 0.42072773, 0.53316087)","(0.52124786, 0.5340615, 0.67025685)","(0.51737106, 0.4714145, 0.7445466)","(0.68512774, 0.5394836, 0.6759058)","(0.6853058, 0.48216927, 0.6880948)","(0.82153845, 0.5376125, 0.7199764)","(0.8177103, 0.47868717, 0.3065339)","(0.27975063025951385, 0.5418691635131836, 0.5848986208438873)",0.050030000507831573,"(0.32354608178138733, 0.5278544823328654, 0.5523364742596945)",0.08925026027346146
2,"(0.28655133, 0.5587807, 0.3733026)","(0.27856168, 0.567688, 0.54093593)","(0.2716656, 0.55285275, 0.5498462)","(0.28599894, 0.56651676, 0.5502393)","(0.2709886, 0.52139795, 0.54067314)","(0.35095012, 0.579849, 0.6642799)","(0.33475715, 0.45815393, 0.6710765)","(0.4575158, 0.56850684, 0.525487)","(0.43846643, 0.42302495, 0.6928214)","(0.52764714, 0.55611813, 0.35096115)","(0.55093455, 0.41814858, 0.56099653)","(0.5217204, 0.53434736, 0.68721837)","(0.51603025, 0.47281918, 0.73897225)","(0.6846148, 0.54027134, 0.72298217)","(0.68720263, 0.48245358, 0.68736804)","(0.81681454, 0.53810835, 0.67247045)","(0.8171619, 0.47708625, 0.40331942)","(0.2784937769174576, 0.5439573526382446, 0.5454562306404114)",0.047550152987241745,"(0.324086199204127, 0.5322612226009369, 0.5695529878139496)",0.09191628644461934
3,"(0.28459227, 0.5580032, 0.3735181)","(0.27708703, 0.56473225, 0.48424456)","(0.2705289, 0.5491366, 0.5158104)","(0.28681815, 0.5666816, 0.56657577)","(0.2721929, 0.5201397, 0.52333987)","(0.35289127, 0.5789192, 0.63836074)","(0.33393347, 0.46187794, 0.7086598)","(0.45263022, 0.57172495, 0.4877267)","(0.42900822, 0.4233478, 0.67289037)","(0.51079553, 0.5600503, 0.3884007)","(0.5367265, 0.41941687, 0.63514555)","(0.51821995, 0.53691554, 0.7197237)","(0.51088965, 0.47336072, 0.79722166)","(0.67648476, 0.5417688, 0.761379)","(0.680788, 0.48174295, 0.71653724)","(0.8090849, 0.5365014, 0.675368)","(0.8101582, 0.47480226, 0.42724696)","(0.27950552105903625, 0.5434106588363647, 0.5449578166007996)",0.0487857460975647,"(0.32380566994349164, 0.5329334338506063, 0.5735128919283549)",0.09308454652306734
4,"(0.2907719, 0.56627023, 0.4288371)","(0.2838427, 0.5740923, 0.5538962)","(0.27627337, 0.5599552, 0.6288141)","(0.28788692, 0.56542933, 0.47463918)","(0.27420214, 0.52443486, 0.59423256)","(0.35425818, 0.5826162, 0.6033615)","(0.3357117, 0.46120995, 0.7304341)","(0.4618711, 0.5688219, 0.52590936)","(0.43932325, 0.4233591, 0.6974138)","(0.5125629, 0.55771697, 0.37753665)","(0.54131365, 0.42209244, 0.5977134)","(0.5175427, 0.5382094, 0.73882353)","(0.510057, 0.47432458, 0.7852082)","(0.6818433, 0.54855496, 0.79828656)","(0.6799168, 0.47984642, 0.68897253)","(0.8214482, 0.53480726, 0.69785357)","(0.8120381, 0.47660217, 0.41040906)","(0.28104452788829803, 0.544932097196579, 0.5344358682632446)",0.043218277394771576,"(0.3269139230251312, 0.5366987983385721, 0.5875442326068878)",0.09339626144143383
5,"(0.29123294, 0.5622268, 0.38797194)","(0.2844767, 0.5706041, 0.57533556)","(0.2764806, 0.5571426, 0.65199536)","(0.29000908, 0.564133, 0.46003494)","(0.2751744, 0.52354217, 0.62690794)","(0.3536262, 0.5814384, 0.6064386)","(0.33491904, 0.4609791, 0.71873456)","(0.4602444, 0.56943136, 0.5339178)","(0.43919894, 0.4224145, 0.68609333)","(0.5273223, 0.5516761, 0.34175044)","(0.5423277, 0.42407572, 0.58826566)","(0.5143957, 0.5385718, 0.75917244)","(0.50638896, 0.47407874, 0.7733808)","(0.6782858, 0.5497895, 0.7733395)","(0.6733501, 0.47007495, 0.56386375)","(0.8169622, 0.5254234, 0.63508725)","(0.8050821, 0.4778337, 0.39354476)","(0.2825917452573776, 0.5438375771045685, 0.5434714406728745)",0.04321669042110443,"(0.3265927235285441, 0.5348814328511556, 0.571048359076182)",0.08939981277903315
6,"(0.2934687, 0.5593121, 0.39156553)","(0.28590906, 0.5690782, 0.5374525)","(0.2779462, 0.5542902, 0.6923442)","(0.29226816, 0.56149065, 0.35229513)","(0.27873945, 0.5214489, 0.6556828)","(0.35676727, 0.5767791, 0.6449541)","(0.3376699, 0.46273184, 0.74898195)","(0.4620384, 0.5663943, 0.49453297)","(0.44402537, 0.42343843, 0.6836882)","(0.5221164, 0.5578426, 0.30327618)","(0.546474, 0.42704865, 0.50568134)","(0.5150621, 0.5390132, 0.7621529)","(0.508922, 0.47387633, 0.65671945)","(0.6791061, 0.5509344, 0.7755929)","(0.67496645, 0.47232038, 0.5812744)","(0.8216057, 0.5196235, 0.5340377)","(0.8118533, 0.47840214, 0.3983151)","(0.2855038046836853, 0.5414697825908661, 0.503988966345787)",0.04226543754339218,"(0.32930196324984234, 0.5329410235087076, 0.5951671898365021)",0.08898214916322854
7,"(0.2928564, 0.55500114, 0.31118757)","(0.28562465, 0.5639474, 0.49552456)","(0.27770418, 0.5499947, 0.5973057)","(0.294673, 0.56067926, 0.3638386)","(0.27929008, 0.52008784, 0.6302776)","(0.3585732, 0.5760969, 0.6302328)","(0.3383357, 0.45954734, 0.71929336)","(0.4659487, 0.56790906, 0.5267492)","(0.44474083, 0.42312548, 0.6849499)","(0.50673294, 0.5604849, 0.38424164)","(0.55462307, 0.4253174, 0.5863389)","(0.5159424, 0.54048085, 0.7824995)","(0.51057386, 0.47352976, 0.7786258)","(0.6740024, 0.55314636, 0.74381596)","(0.67597026, 0.470167, 0.5744722)","(0.8168232, 0.52570885, 0.57456696)","(0.8090552, 0.48234722, 0.49980995)","(0.286981537938118, 0.5403835475444794, 0.49705809354782104)",0.04340849444270134,"(0.32992176214853924, 0.5302151242891947, 0.5535712440808614)",0.0891782031829341
8,"(0.2997313, 0.5595235, 0.3785741)","(0.2903123, 0.56266606, 0.38372332)","(0.2843747, 0.54791117, 0.54297185)","(0.3010831, 0.55817837, 0.35211092)","(0.2875296, 0.5234684, 0.55499506)","(0.3602738, 0.5708733, 0.5161409)","(0.34734458, 0.45959112, 0.6080919)","(0.46352893, 0.572386, 0.44598895)","(0.44571805, 0.42068636, 0.6471509)","(0.5019525, 0.5572944, 0.4161384)","(0.5472523, 0.42540634, 0.50904936)","(0.5211405, 0.53675425, 0.6134808)","(0.5172476, 0.47231013, 0.65733266)","(0.6745515, 0.54839927, 0.6074738)","(0.68325037, 0.47678316, 0.5173788)","(0.81987923, 0.5245562, 0.45282298)","(0.8165605, 0.49325606, 0.48002878)","(0.29430633783340454, 0.540823370218277, 0.4535529911518097)",0.03726232424378395,"(0.3357832332452138, 0.529995987812678, 0.5009356240431467)",0.09320120586618913
9,"(0.30725098, 0.55600953, 0.32401025)","(0.29205483, 0.5568648, 0.34893143)","(0.29040354, 0.5515299, 0.4789044)","(0.29762042, 0.5498471, 0.36623383)","(0.29257426, 0.53701276, 0.5335003)","(0.3568197, 0.5460838, 0.39294028)","(0.35350108, 0.4841615, 0.52681166)","(0.46926183, 0.5626056, 0.2618003)","(0.44784242, 0.42415202, 0.62569344)","(0.5190611, 0.55804056, 0.23026925)","(0.5548111, 0.43214023, 0.34969205)","(0.52451134, 0.5191959, 0.54455525)","(0.5227494, 0.49036944, 0.6167552)","(0.6755707, 0.5415054, 0.53982717)","(0.6881162, 0.49071413, 0.52709085)","(0.82235026, 0.522562, 0.43857646)","(0.8190911, 0.50013167, 0.49207923)","(0.29509733617305756, 0.5434299409389496, 0.4498670697212219)",0.013790749944746494,"(0.33919058243433636, 0.5287516117095947, 0.414587398370107)",0.08397934480434498
10,"(0.30988207, 0.56031656, 0.39440036)","(0.30126774, 0.5651425, 0.51756936)","(0.29616442, 0.5550585, 0.59095585)","(0.30506384, 0.5576155, 0.37219405)","(0.29478258, 0.5222924, 0.60995543)","(0.36476976, 0.573254, 0.5781326)","(0.35353398, 0.45550126, 0.6473229)","(0.46248382, 0.5764169, 0.5075024)","(0.44411108, 0.42268467, 0.6311507)","(0.51169443, 0.55971634, 0.43072596)","(0.55516154, 0.42606816, 0.6128121)","(0.5260806, 0.53468895, 0.66702926)","(0.52493536, 0.4742219, 0.725817)","(0.6742556, 0.5528095, 0.67354554)","(0.686062, 0.47813565, 0.5287098)","(0.82003856, 0.53012705, 0.5358978)","(0.8155389, 0.49409255, 0.46394476)","(0.29992321133613586, 0.5399539470672607, 0.49107474088668823)",0.036788977682590485,"(0.3427286048730214, 0.5296906034151713, 0.5399519602457682)",0.08981857114316352
