,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.23523872, 0.4916674, 0.589136)","(0.22209615, 0.50928605, 0.78152764)","(0.21790265, 0.4795236, 0.5831492)","(0.23567915, 0.5269307, 0.6419751)","(0.22597848, 0.46231434, 0.4551179)","(0.31259316, 0.5603355, 0.80555946)","(0.30282795, 0.41953808, 0.79400146)","(0.40717956, 0.57560766, 0.52027035)","(0.40268654, 0.38699383, 0.7198466)","(0.47835883, 0.5362367, 0.3239323)","(0.4886123, 0.43039414, 0.6130304)","(0.5076784, 0.5265695, 0.8417543)","(0.5053921, 0.45099318, 0.8279848)","(0.6722585, 0.5325551, 0.83200943)","(0.6706792, 0.47344697, 0.75361747)","(0.81526756, 0.522437, 0.787125)","(0.8317838, 0.4650174, 0.74524045)","(0.23082881420850754, 0.49462251365184784, 0.5485465079545975)",0.06534045934677124,"(0.28355327745278675, 0.4905136624972026, 0.7295656402905782)",0.09665666939468584
1,"(0.2351152, 0.49223512, 0.58383286)","(0.22211461, 0.50983834, 0.76970506)","(0.21733491, 0.48026058, 0.60674846)","(0.23638026, 0.5271239, 0.65999556)","(0.22566962, 0.46324623, 0.4360961)","(0.3152304, 0.55719256, 0.77016777)","(0.30137205, 0.42016858, 0.79410744)","(0.4078533, 0.5748382, 0.5416565)","(0.40154916, 0.38683343, 0.7085841)","(0.4896941, 0.5374759, 0.3611613)","(0.4874886, 0.4322034, 0.6229857)","(0.5037142, 0.52609146, 0.83190256)","(0.5015513, 0.4516841, 0.8034217)","(0.6642697, 0.53530586, 0.87298656)","(0.66815066, 0.47278175, 0.71407187)","(0.8049911, 0.5200776, 0.77047324)","(0.82815754, 0.46161753, 0.7856914)","(0.23102494329214096, 0.49518507719039917, 0.5480458289384842)",0.06476942449808121,"(0.28390588363011676, 0.48986542224884033, 0.7160360217094421)",0.0976963923300377
2,"(0.23386827, 0.49325496, 0.5305466)","(0.22047657, 0.509966, 0.77506626)","(0.21625468, 0.4803117, 0.62585104)","(0.23528835, 0.5275247, 0.6372099)","(0.22529642, 0.46318227, 0.6396521)","(0.315311, 0.55819327, 0.7383005)","(0.30131882, 0.41910356, 0.7649075)","(0.4077567, 0.5719397, 0.56219465)","(0.39408287, 0.38756692, 0.6140392)","(0.4900888, 0.5392674, 0.4178331)","(0.48734397, 0.44081613, 0.58439887)","(0.5061351, 0.5265131, 0.83445907)","(0.50613946, 0.4507618, 0.8186144)","(0.6652592, 0.5327557, 0.84456754)","(0.67064065, 0.47197378, 0.7499387)","(0.8042087, 0.5172844, 0.7489223)","(0.8268749, 0.46363938, 0.78978086)","(0.23029238730669022, 0.49535349011421204, 0.6384309828281403)",0.06511365622282028,"(0.2834993700186412, 0.4901839296023051, 0.6779181957244873)",0.09945204279010028
3,"(0.23334639, 0.49577004, 0.48759523)","(0.22031407, 0.51108944, 0.7692621)","(0.21647915, 0.4818458, 0.6430655)","(0.23532014, 0.5291252, 0.65139604)","(0.22602992, 0.46437058, 0.62752914)","(0.31521982, 0.5581139, 0.745739)","(0.30105636, 0.42222917, 0.8195575)","(0.40678823, 0.57480484, 0.54299086)","(0.3976941, 0.38661152, 0.6604225)","(0.48906285, 0.54212034, 0.40438426)","(0.48861584, 0.43560886, 0.6079364)","(0.5066315, 0.5274255, 0.84134984)","(0.5046716, 0.45400977, 0.8280262)","(0.66510165, 0.52760494, 0.78707606)","(0.6714573, 0.47168028, 0.7417471)","(0.8031286, 0.51203656, 0.6907385)","(0.82689965, 0.45997524, 0.7409518)","(0.23067502677440643, 0.4967478960752487, 0.6394625902175903)",0.06541766226291656,"(0.2832075208425522, 0.49203769365946454, 0.6842972338199615)",0.10000125963184077
4,"(0.23355913, 0.4973629, 0.49183714)","(0.22013764, 0.5125976, 0.7577852)","(0.21679339, 0.48319727, 0.67085016)","(0.23491119, 0.53037155, 0.65761304)","(0.22639897, 0.46615583, 0.60866475)","(0.31562293, 0.558326, 0.7559578)","(0.29927427, 0.4245597, 0.843825)","(0.40627348, 0.5746057, 0.55632156)","(0.39563233, 0.3867112, 0.6544026)","(0.48752087, 0.5353195, 0.32325062)","(0.48756927, 0.43918556, 0.59487754)","(0.5060508, 0.5291841, 0.8368972)","(0.5050303, 0.45503983, 0.82483983)","(0.6673979, 0.5219243, 0.69788915)","(0.67130005, 0.4691996, 0.74293953)","(0.80653065, 0.5109004, 0.7507477)","(0.82817173, 0.4581576, 0.7304957)","(0.23065508157014847, 0.4982636868953705, 0.63313889503479)",0.0647774413228035,"(0.2828187743822734, 0.4934162100156148, 0.6972066362698873)",0.09883499095024581
5,"(0.2319985, 0.4980323, 0.4649049)","(0.21874152, 0.5126682, 0.76357865)","(0.21633689, 0.48328885, 0.6517284)","(0.23347431, 0.53124833, 0.6207938)","(0.22650495, 0.46660656, 0.6505346)","(0.31506503, 0.55967855, 0.75261414)","(0.299593, 0.42633474, 0.82983553)","(0.40724075, 0.57621306, 0.5360515)","(0.3964522, 0.38901204, 0.6696846)","(0.4874298, 0.5377667, 0.36054304)","(0.49061537, 0.43544734, 0.62076)","(0.50394535, 0.52986586, 0.83701533)","(0.5033088, 0.4562027, 0.825382)","(0.66985935, 0.51889646, 0.7592473)","(0.673098, 0.46904463, 0.76142603)","(0.81076825, 0.5091595, 0.7849593)","(0.8332369, 0.4577583, 0.7208717)","(0.22998963296413422, 0.49892744421958923, 0.6356641948223114)",0.06501638889312744,"(0.2822188436985016, 0.49468186497688293, 0.6824515263239542)",0.10066395630934727
6,"(0.23186299, 0.49489182, 0.31110734)","(0.21977094, 0.51464987, 0.78524554)","(0.2161706, 0.4849481, 0.63901365)","(0.2356683, 0.53209704, 0.6906256)","(0.22607562, 0.4678998, 0.6838443)","(0.31302404, 0.5613718, 0.80229783)","(0.29972345, 0.42790914, 0.8566179)","(0.40776056, 0.5767012, 0.36898026)","(0.39619717, 0.38842726, 0.68322724)","(0.48644203, 0.53901386, 0.31912705)","(0.48937684, 0.43186864, 0.65120137)","(0.49854076, 0.53214264, 0.79757094)","(0.49718377, 0.45707494, 0.7886043)","(0.6676676, 0.51920575, 0.73397046)","(0.671699, 0.4719362, 0.76842976)","(0.81006515, 0.5106349, 0.77242565)","(0.8334643, 0.45854792, 0.7425252)","(0.23087196052074432, 0.49999842047691345, 0.6872349679470062)",0.06490997970104218,"(0.28153682748476666, 0.4947242538134257, 0.6566743652025858)",0.09934823614303889
7,"(0.23154245, 0.49895835, 0.3647836)","(0.2193267, 0.5189383, 0.73502636)","(0.21558146, 0.48871216, 0.6448194)","(0.23484819, 0.5357589, 0.6567522)","(0.22542152, 0.47007447, 0.6232734)","(0.31408194, 0.5564042, 0.7109585)","(0.29933316, 0.42822957, 0.83717537)","(0.40970683, 0.5791848, 0.49510512)","(0.39730415, 0.39051998, 0.7020266)","(0.48721772, 0.54605675, 0.3863583)","(0.4921002, 0.4333317, 0.61546135)","(0.49894416, 0.53535116, 0.7781967)","(0.49673125, 0.45705932, 0.7247948)","(0.6669602, 0.51871467, 0.7627469)","(0.6720822, 0.47078973, 0.79448205)","(0.8101675, 0.5105485, 0.7670083)","(0.8349816, 0.45805582, 0.7526592)","(0.23013485223054886, 0.502916693687439, 0.640012800693512)",0.06635742634534836,"(0.2816525151332219, 0.49453069766362506, 0.6376391549905142)",0.1006105841022779
8,"(0.23335645, 0.5022353, 0.42411864)","(0.22053221, 0.5205224, 0.5360517)","(0.21656446, 0.49256563, 0.64805156)","(0.2356969, 0.5368594, 0.6438723)","(0.22506839, 0.47363293, 0.6098693)","(0.31680408, 0.5570614, 0.7514688)","(0.29760873, 0.4324846, 0.734138)","(0.41086242, 0.57504314, 0.40860522)","(0.40017617, 0.4006548, 0.75388324)","(0.49670216, 0.5597653, 0.40395188)","(0.49196276, 0.43765828, 0.5436816)","(0.507562, 0.533334, 0.74996984)","(0.5037929, 0.46244594, 0.83008015)","(0.67143196, 0.5180551, 0.60496604)","(0.6771747, 0.4743089, 0.83527005)","(0.81180996, 0.50914127, 0.77311754)","(0.8341848, 0.45677862, 0.74008083)","(0.23038264364004135, 0.5052461624145508, 0.6268708109855652)",0.0641135722398758,"(0.28258975346883136, 0.4972604215145111, 0.6365751425425211)",0.09896803346027952
9,"(0.23507123, 0.50360775, 0.45678797)","(0.22248738, 0.5216742, 0.56126225)","(0.21814227, 0.4943721, 0.6027612)","(0.23760447, 0.53680396, 0.6262108)","(0.22568487, 0.47537097, 0.58051246)","(0.3185134, 0.5561648, 0.7413189)","(0.2977156, 0.4347746, 0.77343416)","(0.4102571, 0.5785607, 0.56442994)","(0.39850986, 0.40498742, 0.76620954)","(0.49805674, 0.5764165, 0.5535679)","(0.49446186, 0.4327472, 0.496682)","(0.5046217, 0.53226805, 0.7309793)","(0.5024358, 0.46532023, 0.82099545)","(0.6707313, 0.522025, 0.70907044)","(0.6759043, 0.47746944, 0.8173572)","(0.81212085, 0.5104224, 0.7783019)","(0.834512, 0.45712572, 0.75450706)","(0.2316446676850319, 0.5060874670743942, 0.6033616364002228)",0.06257866322994232,"(0.2837667415539424, 0.49818238615989685, 0.6571803390979767)",0.09799362661405303
10,"(0.23476265, 0.5115927, 0.5336144)","(0.22115636, 0.52682704, 0.74159193)","(0.21751723, 0.49853277, 0.59421176)","(0.23737377, 0.54018635, 0.60925275)","(0.22944304, 0.47923517, 0.42762882)","(0.3229422, 0.5567156, 0.73874795)","(0.29864335, 0.43962145, 0.845845)","(0.41841754, 0.5736995, 0.39971256)","(0.40141436, 0.4073633, 0.8157537)","(0.4971144, 0.5745753, 0.52719563)","(0.494286, 0.44990367, 0.5923121)","(0.50489044, 0.53464186, 0.7565696)","(0.5026946, 0.46879393, 0.82770705)","(0.67048335, 0.5253893, 0.7269315)","(0.67783165, 0.4817484, 0.81735885)","(0.81196254, 0.5095232, 0.7580629)","(0.8342694, 0.45844287, 0.7371955)","(0.23340840637683868, 0.5097107589244843, 0.5184407830238342)",0.06146496534347534,"(0.28544940054416656, 0.5026432474454244, 0.7060691118240356)",0.10294151268336627
