,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.35253257, 0.45499706, 0.3281988)","(0.34105632, 0.47111043, 0.6762169)","(0.34041426, 0.44409618, 0.59581727)","(0.34884465, 0.4888688, 0.6713143)","(0.34705052, 0.42792854, 0.7601247)","(0.41402575, 0.52201116, 0.7410215)","(0.41350898, 0.38590738, 0.54892933)","(0.5209247, 0.5561936, 0.61454225)","(0.5287905, 0.38766146, 0.64554733)","(0.61091554, 0.5656692, 0.6735529)","(0.6056513, 0.3953883, 0.49702123)","(0.57915103, 0.5167084, 0.6616517)","(0.5832928, 0.43822655, 0.6895109)","(0.81145906, 0.5060096, 0.738893)","(0.8226321, 0.4333368, 0.7724142)","(0.9836005, 0.4969142, 0.5840158)","(0.984221, 0.4250265, 0.7984624)","(0.3479475826025009, 0.4583986699581146, 0.7157194912433624)",0.060966670513153076,"(0.3933557669321696, 0.4543052017688751, 0.5393832127253214)",0.08165812731245498
1,"(0.35536274, 0.46027404, 0.4285258)","(0.3408601, 0.47621268, 0.4875692)","(0.34203255, 0.44820422, 0.66850996)","(0.34842604, 0.4920834, 0.6581661)","(0.3483406, 0.43105155, 0.73581123)","(0.41594765, 0.5286571, 0.7840668)","(0.4157681, 0.38998532, 0.5942956)","(0.5192648, 0.5593116, 0.5649711)","(0.5272428, 0.38583264, 0.6747907)","(0.6085276, 0.5694699, 0.6635303)","(0.6057518, 0.39461634, 0.46315354)","(0.58166474, 0.5185096, 0.6731936)","(0.5833484, 0.43975365, 0.70135206)","(0.81220883, 0.50677794, 0.7285766)","(0.8235914, 0.43540037, 0.7740989)","(0.9866593, 0.49681303, 0.60859525)","(0.98490995, 0.4279409, 0.8026867)","(0.3483833223581314, 0.4615674763917923, 0.6969886720180511)",0.06103190779685974,"(0.3956928253173828, 0.4596388141314189, 0.6022960742314657)",0.08067016899165998
2,"(0.34739956, 0.46291453, 0.5615411)","(0.33642358, 0.47692665, 0.542643)","(0.3351695, 0.45031998, 0.48266682)","(0.34648967, 0.4936658, 0.6529587)","(0.34511703, 0.43420458, 0.6835331)","(0.416256, 0.52968544, 0.7891411)","(0.41351864, 0.3925647, 0.6879262)","(0.5157736, 0.5634951, 0.5646928)","(0.51259995, 0.38448164, 0.57865274)","(0.60277987, 0.5753764, 0.6013467)","(0.60014963, 0.39341545, 0.4240265)","(0.5804931, 0.51830083, 0.6829246)","(0.5816601, 0.43923008, 0.70563245)","(0.8108548, 0.50643086, 0.743577)","(0.82299495, 0.43588132, 0.7678747)","(0.98378766, 0.4977852, 0.65332913)","(0.9841163, 0.42691833, 0.8267635)","(0.3458033502101898, 0.4639351963996887, 0.6682458817958832)",0.059477075934410095,"(0.3923914035161336, 0.4617215593655904, 0.6795361240704855)",0.09001530802618718
3,"(0.34619376, 0.4647094, 0.5680557)","(0.3335738, 0.47908854, 0.38068375)","(0.33361673, 0.45202023, 0.46859932)","(0.34468362, 0.49696028, 0.62011284)","(0.34352237, 0.43688947, 0.58141494)","(0.4147579, 0.53386104, 0.77998286)","(0.4119503, 0.3937336, 0.74397534)","(0.5154256, 0.56758237, 0.5461842)","(0.5185788, 0.38657945, 0.5399576)","(0.603814, 0.57060665, 0.5252298)","(0.60950476, 0.39144954, 0.4169922)","(0.58719015, 0.5197582, 0.72026336)","(0.58790946, 0.43801376, 0.7233311)","(0.813673, 0.50809664, 0.71796536)","(0.8209366, 0.43746775, 0.7510606)","(0.9834696, 0.49490142, 0.6217921)","(0.9845802, 0.4276427, 0.82296085)","(0.34410299360752106, 0.46692487597465515, 0.6007638871669769)",0.06008203700184822,"(0.39096731940905255, 0.4641013443470001, 0.6973379651705424)",0.08955537501418533
4,"(0.34277135, 0.46833104, 0.59511447)","(0.32753652, 0.4827356, 0.52012885)","(0.32813412, 0.45508358, 0.53962713)","(0.34211445, 0.49925828, 0.43941444)","(0.34264588, 0.4392471, 0.60074544)","(0.4148069, 0.5390631, 0.71347594)","(0.4105599, 0.39895257, 0.8209516)","(0.5118819, 0.5692805, 0.5322199)","(0.5079437, 0.38600147, 0.54347765)","(0.6021074, 0.5769879, 0.56265855)","(0.59028995, 0.39403796, 0.5474271)","(0.58212304, 0.520725, 0.7231444)","(0.58034587, 0.43936425, 0.71226203)","(0.81522405, 0.50574374, 0.71189576)","(0.81917405, 0.4264776, 0.62091446)","(0.9842081, 0.4953403, 0.6287013)","(0.9846847, 0.4265227, 0.82764184)","(0.342380166053772, 0.46925269067287445, 0.5200799405574799)",0.060013532638549805,"(0.3893793821334839, 0.468782236178716, 0.7098473310470581)",0.0932204293837601
5,"(0.34501147, 0.4738224, 0.6015227)","(0.3319577, 0.48757216, 0.551087)","(0.33144155, 0.46020266, 0.44028234)","(0.34137863, 0.50333256, 0.5852426)","(0.34344298, 0.441876, 0.6989477)","(0.4141248, 0.539362, 0.65960884)","(0.41305465, 0.40142435, 0.78140485)","(0.51466143, 0.56708914, 0.50988513)","(0.5188644, 0.3902576, 0.5858798)","(0.5949572, 0.5649369, 0.5394358)","(0.6016475, 0.39408156, 0.38544014)","(0.5902752, 0.5165167, 0.77103186)","(0.58919126, 0.43739903, 0.7214384)","(0.8179533, 0.50026315, 0.6261846)","(0.8203548, 0.42828375, 0.640068)","(0.9823669, 0.49634, 0.69023824)","(0.9831166, 0.42829716, 0.7957127)","(0.3424108028411865, 0.47260427474975586, 0.6420951783657074)",0.0614912211894989,"(0.3907303015391032, 0.4715362588564555, 0.6808454593022665)",0.09155190483163517
6,"(0.34819573, 0.47330862, 0.51457214)","(0.33491892, 0.48806077, 0.54975784)","(0.3358199, 0.46011227, 0.5087901)","(0.34363383, 0.50525427, 0.63993984)","(0.34546685, 0.4431305, 0.7431856)","(0.41371834, 0.5438312, 0.7222644)","(0.41750222, 0.4059878, 0.6821331)","(0.5164436, 0.56767297, 0.5597723)","(0.52885514, 0.39605114, 0.61608464)","(0.605191, 0.570711, 0.550136)","(0.6055317, 0.38388786, 0.51121604)","(0.59819996, 0.5147743, 0.7607218)","(0.59661376, 0.43339336, 0.6733941)","(0.8261277, 0.5024092, 0.72159487)","(0.82738847, 0.43348265, 0.8085171)","(0.9855412, 0.49363992, 0.69752866)","(0.98623073, 0.42487782, 0.765486)","(0.34455034136772156, 0.47419238090515137, 0.6915627121925354)",0.06215081363916397,"(0.3931387662887573, 0.4743758837381999, 0.6396565437316895)",0.08991140993851421
7,"(0.34930962, 0.47880203, 0.42408213)","(0.337009, 0.49109834, 0.62556505)","(0.33892506, 0.46391577, 0.6257596)","(0.34478092, 0.50792336, 0.7078409)","(0.35015556, 0.44690606, 0.7566506)","(0.41521078, 0.54776955, 0.72650975)","(0.4204899, 0.41178986, 0.8348409)","(0.52316356, 0.56964034, 0.5914379)","(0.5332632, 0.39801717, 0.66229594)","(0.60288954, 0.5675745, 0.57789016)","(0.5928135, 0.38340747, 0.5249359)","(0.60472965, 0.50905347, 0.7325356)","(0.60048085, 0.43272305, 0.63268423)","(0.8324658, 0.4947761, 0.7481526)","(0.8278252, 0.4268684, 0.8209344)","(0.98427296, 0.4911756, 0.735322)","(0.98728716, 0.42255184, 0.75875527)","(0.3474682420492172, 0.47741471230983734, 0.7322457730770111)",0.06125355884432793,"(0.39500343799591064, 0.47945381204287213, 0.6618109246095022)",0.09139692626673657
8,"(0.36200613, 0.47738934, 0.45413518)","(0.34613198, 0.49121958, 0.7167316)","(0.34796488, 0.46282792, 0.6966339)","(0.35443705, 0.5088297, 0.4964778)","(0.35884553, 0.4470082, 0.7019536)","(0.42311904, 0.5516314, 0.8295483)","(0.42604953, 0.41090548, 0.66583544)","(0.5352597, 0.57097715, 0.6423134)","(0.53490925, 0.39622778, 0.5181897)","(0.60273796, 0.5678017, 0.58698046)","(0.5807237, 0.37285075, 0.53579336)","(0.61440134, 0.50523734, 0.76949656)","(0.61317766, 0.42765635, 0.7401525)","(0.83743596, 0.4868039, 0.70461667)","(0.83295435, 0.41738448, 0.7337787)","(0.98324746, 0.49598414, 0.6361801)","(0.9870137, 0.42300555, 0.7376939)","(0.3566412925720215, 0.47791895270347595, 0.5992157012224197)",0.061978504061698914,"(0.40372489889462787, 0.4799754023551941, 0.6498396396636963)",0.08359769374516286
9,"(0.36581784, 0.47941947, 0.48611456)","(0.3520975, 0.49182928, 0.52010137)","(0.35465717, 0.46533915, 0.44158033)","(0.3592559, 0.5110674, 0.61371523)","(0.36566195, 0.44854042, 0.8183352)","(0.4318864, 0.5513156, 0.83875906)","(0.43506905, 0.41800472, 0.7280756)","(0.5389598, 0.5691974, 0.57535547)","(0.53673327, 0.3998211, 0.60850286)","(0.61865306, 0.5672168, 0.6151794)","(0.5757023, 0.37135, 0.46437895)","(0.61066866, 0.5028232, 0.7687965)","(0.6027926, 0.4309691, 0.71521735)","(0.8357867, 0.47734505, 0.6791149)","(0.83391327, 0.4130857, 0.67664343)","(0.97911775, 0.49046072, 0.732262)","(0.9839488, 0.41878337, 0.7902281)","(0.3624589294195175, 0.4798039048910141, 0.7160252034664154)",0.06285427510738373,"(0.41092443466186523, 0.4829132656256358, 0.6843164165814718)",0.09048339188815921
